,Segmentname,Segmentgruppe,Segment,Datenelement,Segment ID,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,UNH,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,,Angebot,,QUOTE S,X,
3,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,,10A,,Ausgabe 2010 - A,X,
5,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,,1.2,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
7,Beginn der Nachricht,,BGM,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,,310,,Angebot,X,
9,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,
10,Nachrichtendatum,,DTM,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
12,Nachrichtendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt. 
[931] Format: ZZZ = +00"
13,Nachrichtendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
14,Datum zum geplanten Leistungsbeginn,,DTM,,,,,,Muss,
15,Datum zum geplanten Leistungsbeginn,,DTM,2005,,76,,"Lieferdatum/-zeit, geplant",X,
16,Datum zum geplanten Leistungsbeginn,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB3],
17,Datum zum geplanten Leistungsbeginn,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
18,Produkt-/ Leistungsbeschreibung,,IMD,,,,,,Muss,
19,Produkt-/ Leistungsbeschreibung,,IMD,7081,,Z07,,Kauf,X,
20,Produkt-/ Leistungsbeschreibung,,IMD,7081,,Z08,,Nutzungsüberlassung,X,
21,Nachrichtennummer der Anfrage,SG1,,,,,,,Muss,
22,Nachrichtennummer der Anfrage,SG1,RFF,,,,,,Muss,
23,Nachrichtennummer der Anfrage,SG1,RFF,1153,,AAV,,Nummer der Anfrage,X,
24,Nachrichtennummer der Anfrage,SG1,RFF,1154,,,,Nachrichtennummer,X [504],[504] Hinweis: Wert aus BGM+311 DE1004 der REQOTE mit der die Angebotsanfrage erfolgt ist.
25,Prüfidentifikator,SG1,,,,,,,Muss,
26,Prüfidentifikator,SG1,RFF,,,,,,Muss,
27,Prüfidentifikator,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,
28,Prüfidentifikator,SG1,RFF,1154,,15001,,Angebot Geräteübernahme,X,
29,Währungsangaben,SG4,,,,,,,Muss,
30,Währungsangaben,SG4,CUX,,,,,,Muss,
31,Währungsangaben,SG4,CUX,6347,,2,,Referenzwährung,X,
32,Währungsangaben,SG4,CUX,6345,,EUR,,Euro,X,
33,Währungsangaben,SG4,CUX,6343,,4,,Währung der Rechnung,X,
34,MP-ID Absender,SG11,,,,,,,Muss,
35,MP-ID Absender,SG11,NAD,,,,,,Muss,
36,MP-ID Absender,SG11,NAD,3035,,Nachrichtenaussteller bzw. -absender,,,MS,
37,MP-ID Absender,SG11,NAD,3039,,,,MP-ID,X,
38,MP-ID Absender,SG11,NAD,3055,,9,,GS1,X,
39,MP-ID Absender,SG11,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
40,MP-ID Absender,SG11,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,
41,Ansprechpartner,SG14,,,,,,,Muss,
42,Ansprechpartner,SG14,CTA,,,,,,Muss,
43,Ansprechpartner,SG14,CTA,3139,,,,,IC,
44,Ansprechpartner,SG14,CTA,3412,,,,Kontakt,X [500],[500] Hinweis: Angabe eines technischen Ansprechpartners für die Geräteübernahme
45,Kommunikationsverbindung,SG14,COM,,,,,,Muss,
46,Kommunikationsverbindung,SG14,COM,3148,,,,"Kommunikationsadresse, Identifikation",X,
47,Kommunikationsverbindung,SG14,COM,3155,,EM,,Elektronische Post,X [1P0..1],
48,Kommunikationsverbindung,SG14,COM,3155,,FX,,Telefax,X [1P0..1],
49,Kommunikationsverbindung,SG14,COM,3155,,TE,,Telefon,X [1P0..1],
50,MP-ID Empfänger,SG11,,,,,,,Muss,
51,MP-ID Empfänger,SG11,NAD,,,,,,Muss,
52,MP-ID Empfänger,SG11,NAD,3035,,,,,MR,
53,MP-ID Empfänger,SG11,NAD,3039,,,,MP-ID,X,
54,MP-ID Empfänger,SG11,NAD,3055,,9,,GS1,X,
55,MP-ID Empfänger,SG11,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
56,MP-ID Empfänger,SG11,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,
57,Marktlokation bzw. Messlokation,SG11,,,,,,,Muss,
58,Marktlokation bzw. Messlokation,SG11,NAD,,,,,,Muss,
59,Marktlokation bzw. Messlokation,SG11,NAD,3035,,,,,DP,
60,Meldepunkt,SG11,LOC,,,,,,Muss,
61,Meldepunkt,SG11,LOC,3227,,,,,172,
62,Meldepunkt,SG11,LOC,3225,,,,Identifikator,X [951] [502],"[502] Hinweis: Verwendung der ID der Messlokation 
[951] Format: Zählpunktbezeichnung"
63,Positionsdaten,SG27,,,,,,,Muss,
64,Positionsdaten,SG27,LIN,,,,,,Muss,
65,Positionsdaten,SG27,LIN,1082,,,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend"
66,Positionsdaten,SG27,LIN,7140,,,,Artikelnummer,X [31],"[31] Es sind nur die Artikelnummern erlaubt, die in der Codeliste der Artikelnummern des BDEW mit dem entsprechenden Prüfidentifikator versehen sind."
67,Positionsdaten,SG27,LIN,7143,,Z01,,Artikelnummer,X,
