,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,UTILMD,,Netzanschluss-Stammdaten,X,
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,11A,,Ausgabe 2011 - A,X,
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,,S1.1a,X,
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,E01,,Anmeldungen,X,
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt  
[931] Format: ZZZ = +00"
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
14,MP-ID Absender,SG2,,,,,,Muss,
15,MP-ID Absender,SG2,,,,,,Muss,
16,MP-ID Absender,SG2,NAD,,,,,Muss,
17,MP-ID Absender,SG2,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
18,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X,
19,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,
20,MP-ID Absender,SG2,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
21,Ansprechpartner,SG3,,,,,,Kann,
22,Ansprechpartner,SG3,,,,,,Kann,
23,Ansprechpartner,SG3,CTA,,,,,Muss,
24,Ansprechpartner,SG3,CTA,3139,IC,,Informationskontakt,X,
25,Ansprechpartner,SG3,CTA,3412,,,Name vom Ansprechpartner,X,
26,Kommunikationsverbindung,SG3,,,,,,,
27,Kommunikationsverbindung,SG3,,,,,,Muss,
28,Kommunikationsverbindung,SG3,COM,,,,,Muss,
29,Kommunikationsverbindung,SG3,COM,3148,,,Nummer / Adresse,X (([939],[321] Wenn im DE3155
30,Kommunikationsverbindung,SG3,COM,3155,EM,,Elektronische Post,X [1P0..1],
31,Kommunikationsverbindung,SG3,COM,3155,FX,,Telefax,X [1P0..1],
32,Kommunikationsverbindung,SG3,COM,3155,TE,,Telefon,X [1P0..1],
33,Kommunikationsverbindung,SG3,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
34,Kommunikationsverbindung,SG3,COM,3155,AL,,Handy,X [1P0..1],
35,MP-ID Empfänger,SG2,,,,,,Muss,
36,MP-ID Empfänger,SG2,,,,,,Muss,
37,MP-ID Empfänger,SG2,NAD,,,,,Muss,
38,MP-ID Empfänger,SG2,NAD,3035,MR,,Nachrichtenempfänger,X,
39,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X,
40,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,
41,MP-ID Empfänger,SG2,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
42,Vorgang,SG4,,,,,,Muss,
43,Vorgang,SG4,,,,,,Muss,
44,Vorgang,SG4,IDE,,,,,Muss,
45,Vorgang,SG4,IDE,7495,24,,Transaktion,X,
46,Vorgang,SG4,IDE,7402,,,Vorgangsnummer,X,
47,Identifikationslogik,SG4,,,,,,,
48,Identifikationslogik,SG4,,,,,,,
49,Identifikationslogik,SG4,IMD,,,,,,
50,Identifikationslogik,SG4,IMD,7081,Z36,,Identifikationslogik,,
51,Identifikationslogik,SG4,IMD,7009,Z12,,Marktlokations-ID,,
52,Identifikationslogik,SG4,IMD,7009,Z13,,Alle Identifikationsdaten,,
53,Beginn zum,SG4,,,,,,,
54,Beginn zum,SG4,,,,,,,
55,Beginn zum,SG4,DTM,,,,,,
56,Beginn zum,SG4,DTM,2005,92,,Datum Vertragsbeginn,,
57,Beginn zum,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
58,Beginn zum,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,,
59,Ende zum,SG4,,,,,,,
60,Ende zum,SG4,,,,,,,
61,Ende zum,SG4,DTM,,,,,,[10] Wenn SG4 STS+Z17 (Transaktionsgrund für befristete Anmeldung) vorhanden
62,Ende zum,SG4,DTM,2005,93,,Datum Vertragsende,,
63,Ende zum,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
64,Ende zum,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,,
65,Bilanzierungsbeginn,SG4,,,,,,,
66,Bilanzierungsbeginn,SG4,,,,,,,
67,Bilanzierungsbeginn,SG4,DTM,,,,,,"[18] Wenn SG4 DTM+93 (Ende zum) nicht vorhanden   
[28] Wenn SG4 DTM+93 (Ende zum) vorhanden  
[29] Wenn eine Bilanzierung stattfindet"
68,Bilanzierungsbeginn,SG4,DTM,2005,158,,Bilanzierungsbeginn,,
69,Bilanzierungsbeginn,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
70,Bilanzierungsbeginn,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,,
71,Bilanzierungsende,SG4,,,,,,,
72,Bilanzierungsende,SG4,,,,,,,
73,Bilanzierungsende,SG4,DTM,,,,,,"[28] Wenn SG4 DTM+93 (Ende zum) vorhanden  
[64] Wenn SG4 DTM+158 (Bilanzierungsbeginn) vorhanden"
74,Bilanzierungsende,SG4,DTM,2005,159,,Bilanzierungsende,,
75,Bilanzierungsende,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
76,Bilanzierungsende,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,,
77,Lieferbeginndatum in Bearbeitung,SG4,,,,,,,
78,Lieferbeginndatum in Bearbeitung,SG4,,,,,,Muss [355],
79,Lieferbeginndatum in Bearbeitung,SG4,DTM,,,,,Muss [355],[355] Wenn SG4 STS+E01++A11 vorhanden
80,Lieferbeginndatum in Bearbeitung,SG4,DTM,2005,Z07,,Lieferbeginndatum inBearbeitung,X,
81,Lieferbeginndatum in Bearbeitung,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
82,Lieferbeginndatum in Bearbeitung,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
83,Datum für nächste Bearbeitung,SG4,,,,,,,
84,Datum für nächste Bearbeitung,SG4,,,,,,Muss [355],
85,Datum für nächste Bearbeitung,SG4,DTM,,,,,Muss [355],[355] Wenn SG4 STS+E01++A11 vorhanden
86,Datum für nächste Bearbeitung,SG4,DTM,2005,Z08,,Datum für nächsteBearbeitung,X,
87,Datum für nächste Bearbeitung,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
88,Datum für nächste Bearbeitung,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
89,Transaktionsgrund,SG4,,,,,,,
90,Transaktionsgrund,SG4,,,,,,Muss [2061],
91,Transaktionsgrund,SG4,STS,,,,,Muss [2061],[2061] Segment bzw. Segmentgruppe ist genau einmal je SG4 IDE (Vorgang) anzugeben
92,Transaktionsgrund,SG4,STS,9015,7,,Transaktionsgrund,X,
93,Transaktionsgrund,SG4,STS,9013,E01,,Ein-/Auszug (Umzug),X,
94,Transaktionsgrund,SG4,STS,9013,E02,,Einzug in Neuanlage,X,
95,Transaktionsgrund,SG4,STS,9013,E03,,Wechsel,X,
96,Transaktionsgrund,SG4,STS,9013,ZD2,,Lieferbeginn undAbmeldung aus derErsatzversorgung,X,
97,Transaktionsgrundergänzun g für Lieferende bei befristeter Anmeldung,SG4,,,,,,,
98,Transaktionsgrundergänzun g für Lieferende bei befristeter Anmeldung,SG4,,,,,,Soll [37],
99,Transaktionsgrundergänzun g für Lieferende bei befristeter Anmeldung,SG4,STS,,,,,Soll [37],[37] Wenn Anmeldung/ Änderung befristet
100,Transaktionsgrundergänzun g für Lieferende bei befristeter Anmeldung,SG4,STS,9015,Z17,,Transaktionsgrundergänzung für befristeteAnmeldung,X,
101,Transaktionsgrundergänzun g für Lieferende bei befristeter Anmeldung,SG4,STS,9013,E01,,Ein-/Auszug (Umzug),X,
102,Transaktionsgrundergänzun g für Lieferende bei befristeter Anmeldung,SG4,STS,9013,E03,,Wechsel,X,
103,Status der Antwort,SG4,,,,,,,
104,Status der Antwort,SG4,,,,,,Muss [249],
105,Status der Antwort,SG4,STS,,,,,Muss [249],[249] Innerhalb eines SG4 IDE müssen alle DE1131 der SG4 STS+E01 den identischen Wert enthalten 
106,Status der Antwort,SG4,STS,9015,E01,,Status der Antwort,X,
107,Status der Antwort,SG4,STS,9013,,,Code des Prüfschritts,X [359],"[359] Es sind nur Antwortcodes aus dem Cluster Ablehnung erlaubt  
[360] Es sind nur Antwortcodes aus dem Cluster Zustimmung"
108,Status der Antwort,SG4,STS,1131,E_0404,,EBD Nr. E_0404,X,
109,Status der Antwort,SG4,STS,1131,E_0462,,EBD Nr. E_0462,X,
110,Status der Antwort des dritten Marktbeteiligten,SG4,,,,,,,
111,Status der Antwort des dritten Marktbeteiligten,SG4,,,,,,Muss [356],
112,Status der Antwort des dritten Marktbeteiligten,SG4,STS,,,,,Muss [356],[356] Wenn SG4 STS+E01++A50 vorhanden
113,Status der Antwort des dritten Marktbeteiligten,SG4,STS,9015,Z35,,Status der Antwort desdritten Marktbeteiligten,X,
114,Status der Antwort des dritten Marktbeteiligten,SG4,STS,9013,,,Code des Prüfschritts,X [366],[366] Bis auf den Code A30 sind alle Codes aus EBD E_0403 im Cluster Ablehnung erlaubt  
115,Status der Antwort des dritten Marktbeteiligten,SG4,STS,1131,E_0403,,EBD Nr. E_0403,X,
116,Bemerkung (Feld für allgemeine Hinweise),SG4,,,,,,,
117,Bemerkung (Feld für allgemeine Hinweise),SG4,,,,,,Kann,
118,Bemerkung (Feld für allgemeine Hinweise),SG4,FTX,,,,,Kann,
119,Bemerkung (Feld für allgemeine Hinweise),SG4,FTX,4451,ACB,,ZusätzlicheInformationen (fürallgemeine Hinweise),X,
120,Bemerkung (Feld für allgemeine Hinweise),SG4,FTX,4440,,,Text für allgemeine Information,X,
121,Netzlokation,SG5,,,,,,,
122,Netzlokation,SG5,,,,,,,"[46] Wenn ID für Objekt vergeben wurde  
[688] Hinweis: Es sind alle ID der Netzlokationen, welche der im LOC+Z16 angegebenen Marktlokation vorgelagert sind anzugeben"
123,Netzlokation,SG5,LOC,,,,,,
124,Netzlokation,SG5,LOC,3227,Z18,,Netzlokation,,
125,Netzlokation,SG5,LOC,3225,,,ID der Netzlokation,,[960] Format: Netzlokations-ID
126,Marktlokation,SG5,,,,,,Muss [2061]∧ [354],
127,Marktlokation,SG5,,,,,,Muss [2061]∧ [354],"[165] Wenn bekannt  
[328] Wenn IMD++Z36+Z12 (Identifikationslogik: Marktlokations-ID) vorhanden  
[333] Wenn IMD+Z36+Z13 (Identifikationslogik: Alle Identifikationsdaten)"
128,Marktlokation,SG5,LOC,,,,,Muss,
129,Marktlokation,SG5,LOC,3227,Z16,,Marktlokation,X,
