,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,UTILMD,,Netzanschluss-Stammdaten,X,Netzanschluss-Stammdaten
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,11A,,Ausgabe 2011 - A,X,Ausgabe 2011 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,,S1.1,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z38,,Synchronisation,X,Synchronisation
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,MP-ID Absender,SG2,,,,,,Muss,
15,MP-ID Absender,SG2,,,,,,Muss,
16,MP-ID Absender,SG2,NAD,,,,,Muss,
17,MP-ID Absender,SG2,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,Dokumenten-/Nachrichtenausstellerbzw. -absender
18,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X,
19,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,GS1
20,Ansprechpartner,SG3,,,,,,Kann,
21,Ansprechpartner,SG3,,,,,,Kann,
22,Ansprechpartner,SG3,CTA,,,,,Muss,
23,Ansprechpartner,SG3,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
24,Ansprechpartner,SG3,CTA,3412,,,Name vom Ansprechpartner,X,
25,Kommunikationsverbindung,SG3,,,,,,,
26,Kommunikationsverbindung,SG3,,,,,,Muss,
27,Kommunikationsverbindung,SG3,COM,,,,,Muss,
28,Kommunikationsverbindung,SG3,COM,3148,,,Nummer / Adresse,X,
29,Kommunikationsverbindung,SG3,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
30,MP-ID Empfänger,SG2,,,,,,Muss,
31,MP-ID Empfänger,SG2,,,,,,Muss,
32,MP-ID Empfänger,SG2,NAD,,,,,Muss,
33,MP-ID Empfänger,SG2,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
34,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X [280],
35,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,GS1
36,Vorgang,SG4,,,,,,Muss,
37,Vorgang,SG4,,,,,,Muss,
38,Vorgang,SG4,IDE,,,,,Muss,
39,Vorgang,SG4,IDE,7495,24,,Transaktion,X,Transaktion
40,Vorgang,SG4,IDE,7402,,,Vorgangsnummer,X,
41,Verwendung der Daten ab,SG4,,,,,,,
42,Verwendung der Daten ab,SG4,,,,,,Soll [147],
43,Verwendung der Daten ab,SG4,DTM,,,,,Soll [147],
44,Verwendung der Daten ab,SG4,DTM,2005,Z25,,Verwendung der Datenab,X,Verwendung der Datenab
45,Verwendung der Daten ab,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1] ∧[528],
46,Verwendung der Daten ab,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
47,Verwendung der Daten bis,SG4,,,,,,,
48,Verwendung der Daten bis,SG4,,,,,,Soll [147],
49,Verwendung der Daten bis,SG4,DTM,,,,,Soll [147],
50,Verwendung der Daten bis,SG4,DTM,2005,Z26,,Verwendung der Datenbis,X,Verwendung der Datenbis
51,Verwendung der Daten bis,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1] ∧[528],
52,Verwendung der Daten bis,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
53,Transaktionsgrund,SG4,,,,,,,
54,Transaktionsgrund,SG4,,,,,,Muss [2061]∧ [528],
55,Transaktionsgrund,SG4,STS,,,,,Muss [2061]∧ [528],
56,Transaktionsgrund,SG4,STS,9015,7,,Transaktionsgrund,X,Transaktionsgrund
57,Transaktionsgrund,SG4,STS,9013,ZP0,,Stammdatensynchronisation Beginn derAggregationsverantwortung,X,Stammdatensynchronisation Beginn derAggregationsverantwortung
58,Status der Antwort,SG4,,,,,,,
59,Status der Antwort,SG4,,,,,,Muss [249],
60,Status der Antwort,SG4,STS,,,,,Muss [249],
61,Status der Antwort,SG4,STS,9015,E01,,Status der Antwort,X,Status der Antwort
62,Status der Antwort,SG4,STS,9013,,,Code des Prüfschritts,X,
63,Status der Antwort,SG4,STS,1131,E_0453,,EBD Nr. E_0453,X [156],EBD Nr. E_0453
64,Vorgegebene Verarbeitungsreihenfolge des NB,SG4,,,,,,,
65,Vorgegebene Verarbeitungsreihenfolge des NB,SG4,,,,,,Soll [147],
66,Vorgegebene Verarbeitungsreihenfolge des NB,SG4,PTY,,,,,Soll [147],
67,Vorgegebene Verarbeitungsreihenfolge des NB,SG4,PTY,4035,Z01,,VorgegebeneVerarbeitungsreihenfolge des NB,X,VorgegebeneVerarbeitungsreihenfolge des NB
68,Vorgegebene Verarbeitungsreihenfolge des NB,SG4,PTY,4036,,,Verarbeitungsnummer,X [528],
69,Bemerkung (Feld für allgemeine Hinweise),SG4,,,,,,,
70,Bemerkung (Feld für allgemeine Hinweise),SG4,,,,,,Muss [278],
71,Bemerkung (Feld für allgemeine Hinweise),SG4,FTX,,,,,Muss [278],
72,Bemerkung (Feld für allgemeine Hinweise),SG4,FTX,4451,ACB,,ZusätzlicheInformationen (fürallgemeine Hinweise),X,ZusätzlicheInformationen (fürallgemeine Hinweise)
73,Bemerkung (Feld für allgemeine Hinweise),SG4,FTX,4440,,,Text für allgemeine Information,X,
74,NEU Marktlokation,SG5,,,,,,Soll [147],
75,NEU Marktlokation,SG5,,,,,,Soll [147],
76,NEU Marktlokation,SG5,LOC,,,,,Muss [528],
77,NEU Marktlokation,SG5,LOC,3227,Z16,,Marktlokation,X,Marktlokation
78,NEU Marktlokation,SG5,LOC,3225,,,ID der Marktlokation,X,
79,NEU Tranche,SG5,,,,,,Soll [147],
80,NEU Tranche,SG5,,,,,,Soll [147],
81,NEU Tranche,SG5,LOC,,,,,Muss [528],
82,NEU Tranche,SG5,LOC,3227,Z21,,Tranche,X,Tranche
83,NEU Tranche,SG5,LOC,3225,,,ID der Tranche,X,
84,Prüfidentifikator,SG6,,,,,,Muss,
85,Prüfidentifikator,SG6,,,,,,Muss,
86,Prüfidentifikator,SG6,RFF,,,,,Muss,
87,Prüfidentifikator,SG6,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
88,Prüfidentifikator,SG6,RFF,1154,55185,,SDÄ Strom /Stammdatensynchronisation vom NB,,SDÄ Strom /Stammdatensynchronisation vom NB
89,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,,,,,,Soll [147],
90,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,,,,,,Soll [147],
91,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,,,,,Muss,
92,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,1153,TN,,Transaktions-Referenznummer,X,Transaktions-Referenznummer
93,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,1154,,,Vorgangsnummer,X [603],
94,Daten der Marktlokation,SG8,,,,,,Soll [147],
95,Daten der Marktlokation,SG8,,,,,,Soll [147],
96,Daten der Marktlokation,SG8,SEQ,,,,,Muss,
97,Daten der Marktlokation,SG8,SEQ,1229,Z01,,Daten der Marktlokation,X,Daten der Marktlokation
98,Referenz auf die ID der Marktlokation,SG8,,,,,,,
99,Referenz auf die ID der Marktlokation,SG8,,,,,,Muss,
100,Referenz auf die ID der Marktlokation,SG8,RFF,,,,,Muss,
101,Referenz auf die ID der Marktlokation,SG8,RFF,1153,Z18,,Marktlokation,X,Marktlokation
102,Referenz auf die ID der Marktlokation,SG8,RFF,1154,,,ID der Marktlokation,X [528],
103,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,,,,,,Soll [147],
104,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,,,,,,Soll [147],
105,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,,,,,Muss [528],
106,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6063,Z10,,Leistung derMarktlokation,X,Leistung derMarktlokation
107,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6060,,,Menge,X [902],
108,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6411,Z16,,kWh/K (Kilowatt-Stunde/Kelvin),X,kWh/K (Kilowatt-Stunde/Kelvin)
109,Veranschlagte Jahresmenge gesamt,SG9,,,,,,Soll [147],
110,Veranschlagte Jahresmenge gesamt,SG9,,,,,,Soll [147],
111,Veranschlagte Jahresmenge gesamt,SG9,QTY,,,,,Muss,
112,Veranschlagte Jahresmenge gesamt,SG9,QTY,6063,31,,VeranschlagteJahresmenge Gesamt,X,VeranschlagteJahresmenge Gesamt
113,Veranschlagte Jahresmenge gesamt,SG9,QTY,6060,,,Mengenangabe,X [902] ∧[937] [528],
114,Veranschlagte Jahresmenge gesamt,SG9,QTY,6411,KWH,,Kilowattstunde,X,Kilowattstunde
115,Lieferrichtung,SG10,,,,,,Soll [147],
116,Lieferrichtung,SG10,,,,,,Soll [147],
117,Lieferrichtung,SG10,CCI,,,,,Muss [528],
118,Lieferrichtung,SG10,CCI,7059,Z30,,Lieferrichtung,X,Lieferrichtung
119,Lieferrichtung,SG10,CCI,7037,Z06,,Erzeugung,X,Erzeugung
120,Zugeordnete Marktpartner,SG10,,,,,,Soll [147],
121,Zugeordnete Marktpartner,SG10,,,,,,Soll [147],
122,Zugeordnete Marktpartner,SG10,CCI,,,,,Muss,
123,Zugeordnete Marktpartner,SG10,CCI,7037,ZB3,,ZugeordneterMarktpartner,X,ZugeordneterMarktpartner
124,Netzbetreiber,SG10,,,,,,,
125,Netzbetreiber,SG10,,,,,,Soll [147] ∧[528],
126,Netzbetreiber,SG10,CAV,,,,,Soll [147] ∧[528],
127,Netzbetreiber,SG10,CAV,7111,Z88,,NB,X,NB
128,Netzbetreiber,SG10,CAV,1131,,,MP-ID,X,
129,Lieferant,SG10,,,,,,,
130,Lieferant,SG10,,,,,,Soll [147] ∧[528],
131,Lieferant,SG10,CAV,,,,,Soll [147] ∧[528],
132,Lieferant,SG10,CAV,7111,Z89,,LF,X,LF
133,Lieferant,SG10,CAV,1131,,,MP-ID,X,
134,Übertragungsnetzbetreiber,SG10,,,,,,,
135,Übertragungsnetzbetreiber,SG10,,,,,,Soll [147] ∧[528],
136,Übertragungsnetzbetreiber,SG10,CAV,,,,,Soll [147] ∧[528],
137,Übertragungsnetzbetreiber,SG10,CAV,7111,Z90,,ÜNB,X,ÜNB
138,Übertragungsnetzbetreiber,SG10,CAV,1131,,,MP-ID,X,
