,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,UTILMD,,Netzanschluss-Stammdaten,X,Netzanschluss-Stammdaten
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,11A,,Ausgabe 2011 - A,X,Ausgabe 2011 - A
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,,S1.1,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,E03,,Änderungsmeldungen,X,Änderungsmeldungen
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Nachrichtendatum,,,,,,,Muss,
11,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
12,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],
13,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
14,MP-ID Absender,SG2,,,,,,Muss,
15,MP-ID Absender,SG2,,,,,,Muss,
16,MP-ID Absender,SG2,NAD,,,,,Muss,
17,MP-ID Absender,SG2,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,Dokumenten-/Nachrichtenausstellerbzw. -absender
18,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X,
19,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,GS1
20,MP-ID Absender,SG2,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
21,Ansprechpartner,SG3,,,,,,Kann,
22,Ansprechpartner,SG3,,,,,,Kann,
23,Ansprechpartner,SG3,CTA,,,,,Muss,
24,Ansprechpartner,SG3,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
25,Ansprechpartner,SG3,CTA,3412,,,Name vom Ansprechpartner,X,
26,Kommunikationsverbindung,SG3,,,,,,,
27,Kommunikationsverbindung,SG3,,,,,,Muss,
28,Kommunikationsverbindung,SG3,COM,,,,,Muss,
29,Kommunikationsverbindung,SG3,COM,3148,,,Nummer / Adresse,X,
30,Kommunikationsverbindung,SG3,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
31,Kommunikationsverbindung,SG3,COM,3155,FX,,Telefax,X [1P0..1],
32,Kommunikationsverbindung,SG3,COM,3155,TE,,Telefon,X [1P0..1],
33,Kommunikationsverbindung,SG3,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
34,Kommunikationsverbindung,SG3,COM,3155,AL,,Handy,X [1P0..1],
35,MP-ID Empfänger,SG2,,,,,,Muss,
36,MP-ID Empfänger,SG2,,,,,,Muss,
37,MP-ID Empfänger,SG2,NAD,,,,,Muss,
38,MP-ID Empfänger,SG2,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
39,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X,
40,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,GS1
41,MP-ID Empfänger,SG2,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
42,Vorgang,SG4,,,,,,Muss,
43,Vorgang,SG4,,,,,,Muss,
44,Vorgang,SG4,IDE,,,,,Muss,
45,Vorgang,SG4,IDE,7495,24,,Transaktion,X,Transaktion
46,Vorgang,SG4,IDE,7402,,,Vorgangsnummer,X,
47,Beginn zum,SG4,,,,,,,
48,Beginn zum,SG4,,,,,,Muss,
49,Beginn zum,SG4,DTM,,,,,Muss,
50,Beginn zum,SG4,DTM,2005,92,,Datum Vertragsbeginn,X,Datum Vertragsbeginn
51,Beginn zum,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
52,Beginn zum,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
53,"Änderung zum, Gültigkeit, Beginndatum",SG4,,,,,,,
54,"Änderung zum, Gültigkeit, Beginndatum",SG4,,,,,,Muss,
55,"Änderung zum, Gültigkeit, Beginndatum",SG4,DTM,,,,,Muss,
56,"Änderung zum, Gültigkeit, Beginndatum",SG4,DTM,2005,157,,"Gültigkeit, Beginndatum",X,"Gültigkeit, Beginndatum"
57,"Änderung zum, Gültigkeit, Beginndatum",SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
58,"Änderung zum, Gültigkeit, Beginndatum",SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
59,Transaktionsgrund,SG4,,,,,,,
60,Transaktionsgrund,SG4,,,,,,Muss [2061],
61,Transaktionsgrund,SG4,STS,,,,,Muss [2061],
62,Transaktionsgrund,SG4,STS,9015,7,,Transaktionsgrund,X,Transaktionsgrund
63,Transaktionsgrund,SG4,STS,9013,ZF5,,Anfrage an MSB mitAbhängigkeiten,X,Anfrage an MSB mitAbhängigkeiten
64,Status der Antwort,SG4,,,,,,,
65,Status der Antwort,SG4,,,,,,,
66,Status der Antwort,SG4,STS,,,,,,
67,Status der Antwort,SG4,STS,9015,E01,,Status der Antwort,,Status der Antwort
68,Status der Antwort,SG4,STS,9013,,,Code des Prüfschritts,,
69,Status der Antwort,SG4,STS,1131,Codeliste Strom Nr.S_0038,,S_0038,,Codeliste Strom Nr.S_0038
70,Netzlokation,SG5,,,,,,Muss [2061]∧ [298] ∧[299] ∧[347] ∧[348] ∧[349],
71,Netzlokation,SG5,,,,,,Muss [2061]∧ [298] ∧[299] ∧[347] ∧[348] ∧[349],
72,Netzlokation,SG5,LOC,,,,,Muss,
73,Netzlokation,SG5,LOC,3227,Z18,,Netzlokation,X,Netzlokation
74,Netzlokation,SG5,LOC,3225,,,ID der Netzlokation,X [960],
75,Marktlokation,SG5,,,,,,Muss [2061],
76,Marktlokation,SG5,,,,,,Muss [2061],
77,Marktlokation,SG5,LOC,,,,,Muss,
78,Marktlokation,SG5,LOC,3227,Z16,,Marktlokation,X,Marktlokation
79,Marktlokation,SG5,LOC,3225,,,ID der Marktlokation,X [950],
80,Technische Ressource,SG5,,,,,,Muss [2061]∧ [297] ∧[299] ∧[347] ∧[348] ∧[349],
81,Technische Ressource,SG5,,,,,,Muss [2061]∧ [297] ∧[299] ∧[347] ∧[348] ∧[349],
82,Technische Ressource,SG5,LOC,,,,,Muss,
83,Technische Ressource,SG5,LOC,3227,Z20,,Technische Ressource,X,Technische Ressource
84,Technische Ressource,SG5,LOC,3225,,,ID der Technischen Ressource,X [922],
85,Steuerbare Ressource,SG5,,,,,,Muss [2061]∧ [297] ∧[298] ∧[347] ∧[348] ∧[349],
86,Steuerbare Ressource,SG5,,,,,,Muss [2061]∧ [297] ∧[298] ∧[347] ∧[348] ∧[349],
87,Steuerbare Ressource,SG5,LOC,,,,,Muss,
88,Steuerbare Ressource,SG5,LOC,3227,Z19,,Steuerbare Ressource,X,Steuerbare Ressource
89,Steuerbare Ressource,SG5,LOC,3225,,,ID der Steuerbaren Ressource,X [961],
90,Tranche,SG5,,,,,,Muss [2061]∧ [297] ∧[298] ∧[299] ∧[347] ∧[349],
91,Tranche,SG5,,,,,,Muss [2061]∧ [297] ∧[298] ∧[299] ∧[347] ∧[349],
92,Tranche,SG5,LOC,,,,,Muss,
93,Tranche,SG5,LOC,3227,Z21,,Tranche,X,Tranche
94,Tranche,SG5,LOC,3225,,,ID der Tranche,X [950],
95,Messlokation,SG5,,,,,,Muss [2061]∧ [297] ∧[298] ∧[299] ∧[347] ∧[348],
96,Messlokation,SG5,,,,,,Muss [2061]∧ [297] ∧[298] ∧[299] ∧[347] ∧[348],
97,Messlokation,SG5,LOC,,,,,Muss,
98,Messlokation,SG5,LOC,3227,Z17,,Messlokation,X,Messlokation
99,Messlokation,SG5,LOC,3225,,,ID der Messlokation,X [951],
100,Prüfidentifikator,SG6,,,,,,Muss,
101,Prüfidentifikator,SG6,,,,,,Muss,
102,Prüfidentifikator,SG6,RFF,,,,,Muss,
103,Prüfidentifikator,SG6,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
104,Prüfidentifikator,SG6,RFF,1154,55147,,SDÄ Strom / Anfrage anMSB mit AbhängigkeitenNB [Verteiler] an MSB,,SDÄ Strom / Anfrage anMSB mit AbhängigkeitenNB [Verteiler] an MSB
105,Prüfidentifikator,SG6,RFF,1154,55148,,SDÄ Strom / Anfrage anMSB mit AbhängigkeitenNB [Berechtigt] an MSB,X,
106,Prüfidentifikator,SG6,RFF,1154,55149,,SDÄ Strom / Antwort aufAnfrage an MSB mitAbhängigkeiten MSB anNB,,
107,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,,,,,,,
108,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,,,,,,,
109,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,,,,,,
110,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,1153,TN,,Transaktions-Referenznummer,,Transaktions-Referenznummer
111,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,1154,,,Vorgangsnummer,,
112,Daten der Netzlokation,SG8,,,,,,Muss [294],
113,Daten der Netzlokation,SG8,,,,,,Muss [294],
114,Daten der Netzlokation,SG8,SEQ,,,,,Muss,
115,Daten der Netzlokation,SG8,SEQ,1229,Z51,,Daten der Netzlokation,X,Daten der Netzlokation
116,Referenz auf die ID der Netzlokation,SG8,,,,,,,
117,Referenz auf die ID der Netzlokation,SG8,,,,,,Muss,
118,Referenz auf die ID der Netzlokation,SG8,RFF,,,,,Muss,
119,Referenz auf die ID der Netzlokation,SG8,RFF,1153,Z32,,Netzlokation,X,Netzlokation
120,Referenz auf die ID der Netzlokation,SG8,RFF,1154,,,ID der Netzlokation,X [960],
121,Steuerkanal,SG10,,,,,,Muss,
122,Steuerkanal,SG10,,,,,,Muss,
123,Steuerkanal,SG10,CCI,,,,,Muss,
124,Steuerkanal,SG10,CCI,7059,Z49,,Steuerkanal,X,Steuerkanal
125,Steuerkanal,SG10,CCI,7037,ZF2,,Kein Steuerkanalvorhanden,X,Kein Steuerkanalvorhanden
126,Steuerkanal,SG10,CCI,7037,ZF3,,Steuerkanal vorhanden,X,
127,OBIS-Daten der Netzlokation,SG8,,,,,,Soll [166] ∧[294] ∧[343],
128,OBIS-Daten der Netzlokation,SG8,,,,,,Soll [166] ∧[294] ∧[343],
129,OBIS-Daten der Netzlokation,SG8,SEQ,,,,,Muss,
130,OBIS-Daten der Netzlokation,SG8,SEQ,1229,Z57,,OBIS-Daten derNetzlokation,X,OBIS-Daten derNetzlokation
131,Referenz auf die ID der Netzlokation,SG8,,,,,,,
132,Referenz auf die ID der Netzlokation,SG8,,,,,,Muss,
133,Referenz auf die ID der Netzlokation,SG8,RFF,,,,,Muss,
134,Referenz auf die ID der Netzlokation,SG8,RFF,1153,Z32,,Netzlokation,X,Netzlokation
135,Referenz auf die ID der Netzlokation,SG8,RFF,1154,,,ID der Netzlokation,X [960],
136,OBIS-Kennzahl der Netzlokation,SG8,,,,,,,
