,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,UTILM,,Netzanschluss-,X,Netzanschluss-
3,Nachrichten-Kopfsegment,,UNH,0065,D,,Stammdaten,,
4,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
5,Nachrichten-Kopfsegment,,UNH,0054,11A,,Ausgabe 2011 - A,X,Ausgabe 2011 - A
6,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
7,Nachrichten-Kopfsegment,,UNH,0057,VersionsnummerderzugrundeliegendenBDEW-Nachrichtenbeschreibung,,S1.1,X,VersionsnummerderzugrundeliegendenBDEW-Nachrichtenbeschreibung
8,Beginn der Nachricht,,,,,,,Muss,
9,Beginn der Nachricht,,BGM,1001,E01,,Anmeldungen,X,Anmeldungen
10,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
11,Nachrichtendatum,,,,,,,Muss,
12,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
13,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],
14,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
15,MP-ID Absender,SG2,,,,,,Muss,
16,MP-ID Absender,SG2,,,,,,Muss,
17,MP-ID Absender,SG2,NAD,,,,,Muss,
18,MP-ID Absender,SG2,NAD,3035,MS,,Dokumenten-/Nachrichtenaussteller bzw. -absender,X,Dokumenten-/Nachrichtenaussteller bzw. -absender
19,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X,
20,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,GS1
21,MP-ID Absender,SG2,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- und",X,
22,Ansprechpartner,SG3,,,,,,Kann,
23,Ansprechpartner,SG3,,,,,,Kann,
24,Ansprechpartner,SG3,CTA,,,,,Muss,
25,Ansprechpartner,SG3,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
26,Ansprechpartner,SG3,CTA,3412,,,Name vom Ansprechpartner,X,
27,Kommunikationsverbindu ng,SG3,,,,,,,
28,Kommunikationsverbindu ng,SG3,,,,,,Muss,
29,Kommunikationsverbindu ng,SG3,COM,,,,,Muss,
30,Kommunikationsverbindu ng,SG3,COM,3148,,,Nummer / Adresse,X,
31,Kommunikationsverbindu ng,SG3,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
32,Kommunikationsverbindu ng,SG3,COM,3155,FX,,Telefax,X [1P0..1],
33,Kommunikationsverbindu ng,SG3,COM,3155,TE,,Telefon,X [1P0..1],
34,Kommunikationsverbindu ng,SG3,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
35,Kommunikationsverbindu ng,SG3,COM,3155,AL,,Handy,X [1P0..1],
36,MP-ID Empfänger,SG2,,,,,,Muss,
37,MP-ID Empfänger,SG2,,,,,,Muss,
38,MP-ID Empfänger,SG2,NAD,,,,,Muss,
39,MP-ID Empfänger,SG2,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
40,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X [280],
41,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,GS1
42,MP-ID Empfänger,SG2,NAD,3055,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschafte.V.)",X,
43,Vorgang,SG4,,,,,,Muss,
44,Vorgang,SG4,,,,,,Muss,
45,Vorgang,SG4,IDE,,,,,Muss,
46,Vorgang,SG4,IDE,7495,24,,Transaktion,X,Transaktion
47,Vorgang,SG4,IDE,7402,,,Vorgangsnummer,X,
48,Beginn zum,SG4,,,,,,,
49,Beginn zum,SG4,,,,,,Muss,
50,Beginn zum,SG4,DTM,,,,,Muss,
51,Beginn zum,SG4,DTM,2005,92,,DatumVertragsbeginn,X,DatumVertragsbeginn
52,Beginn zum,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
53,Beginn zum,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
54,Bilanzierungsbeginn,SG4,,,,,,,
55,Bilanzierungsbeginn,SG4,,,,,,,
56,Bilanzierungsbeginn,SG4,DTM,,,,,,
57,Bilanzierungsbeginn,SG4,DTM,2005,158,,Bilanzierungsbeginn,,Bilanzierungsbeginn
58,Bilanzierungsbeginn,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
59,Bilanzierungsbeginn,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,,CCYYMMDDHHMMZZZ
60,Lieferbeginndatum in Bearbeitung,SG4,,,,,,,
61,Lieferbeginndatum in Bearbeitung,SG4,,,,,,,
62,Lieferbeginndatum in Bearbeitung,SG4,DTM,,,,,,
63,Lieferbeginndatum in Bearbeitung,SG4,DTM,2005,Z07,,Lieferbeginndatumin Bearbeitung,,Lieferbeginndatumin Bearbeitung
64,Lieferbeginndatum in Bearbeitung,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
65,Lieferbeginndatum in Bearbeitung,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,,CCYYMMDDHHMMZZZ
66,Datum für nächste Bearbeitung,SG4,,,,,,,
67,Datum für nächste Bearbeitung,SG4,,,,,,,
68,Datum für nächste Bearbeitung,SG4,DTM,,,,,,
69,Datum für nächste Bearbeitung,SG4,DTM,2005,Z08,,Datum für nächsteBearbeitung,,Datum für nächsteBearbeitung
70,Datum für nächste Bearbeitung,SG4,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
71,Datum für nächste Bearbeitung,SG4,DTM,2379,303,,CCYYMMDDHHMMZZZ,,CCYYMMDDHHMMZZZ
72,Transaktionsgrund,SG4,,,,,,,
73,Transaktionsgrund,SG4,,,,,,Muss[2061],
74,Transaktionsgrund,SG4,STS,,,,,Muss[2061],
75,Transaktionsgrund,SG4,STS,9015,7,,Transaktionsgrund,X,Transaktionsgrund
76,Transaktionsgrund,SG4,STS,9013,E02,,Einzug in Neuanlage,,Einzug in Neuanlage
77,Transaktionsgrund,SG4,STS,9013,E03,,Wechsel,X,
78,Status der Antwort,SG4,,,,,,,
79,Status der Antwort,SG4,,,,,,,
80,Status der Antwort,SG4,STS,,,,,,
81,Status der Antwort,SG4,STS,9015,E01,,Status der Antwort,,Status der Antwort
82,Status der Antwort,SG4,STS,9013,,,Code des Prüfschritts,,
83,Status der Antwort,SG4,STS,1131,Codeliste Strom Nr.S_0049Codeliste Strom Nr.S_0050Codeliste Strom Nr.S_0051,,S_0049S_0050S_0051,,Codeliste Strom Nr.S_0049Codeliste Strom Nr.S_0050Codeliste Strom Nr.S_0051
84,Status der Antwort des dritten Marktbeteiligten,SG4,,,,,,,
85,Status der Antwort des dritten Marktbeteiligten,SG4,,,,,,,
86,Status der Antwort des dritten Marktbeteiligten,SG4,STS,,,,,,
87,Status der Antwort des dritten Marktbeteiligten,SG4,STS,9015,Z35,,Status der Antwortdes drittenMarktbeteiligten,,Status der Antwortdes drittenMarktbeteiligten
88,Status der Antwort des dritten Marktbeteiligten,SG4,STS,9013,,,Code des Prüfschritts,,
89,Status der Antwort des dritten Marktbeteiligten,SG4,STS,1131,Codeliste Strom Nr.S_0048,,S_0048,,Codeliste Strom Nr.S_0048
90,Netzlokation,SG5,,,,,,,
91,Netzlokation,SG5,,,,,,,
92,Netzlokation,SG5,LOC,,,,,,
93,Netzlokation,SG5,LOC,3227,Z18,,Netzlokation,,Netzlokation
94,Netzlokation,SG5,LOC,3225,,,ID der Netzlokation,,
95,Marktlokation,SG5,,,,,,Muss[2061] ∧[348] ∧[524],
96,Marktlokation,SG5,,,,,,Muss[2061] ∧[348] ∧[524],
97,Marktlokation,SG5,LOC,,,,,Muss,
98,Marktlokation,SG5,LOC,3227,Z16,,Marktlokation,X,Marktlokation
99,Marktlokation,SG5,LOC,3225,,,ID der Marktlokation,X [950],
100,Technische Ressource,SG5,,,,,,,
101,Technische Ressource,SG5,,,,,,,
102,Technische Ressource,SG5,LOC,,,,,,
103,Technische Ressource,SG5,LOC,3227,Z20,,TechnischeRessource,,TechnischeRessource
104,Technische Ressource,SG5,LOC,3225,,,ID der TechnischenRessource,,
105,Steuerbare Ressource,SG5,,,,,,,
106,Steuerbare Ressource,SG5,,,,,,,
107,Steuerbare Ressource,SG5,LOC,,,,,,
108,Steuerbare Ressource,SG5,LOC,3227,Z19,,SteuerbareRessource,,SteuerbareRessource
109,Steuerbare Ressource,SG5,LOC,3225,,,ID der SteuerbarenRessource,,
110,Tranche,SG5,,,,,,Muss[2061] ∧[347] ∧[582],
111,Tranche,SG5,,,,,,Muss[2061] ∧[347] ∧[582],
112,Tranche,SG5,LOC,,,,,Muss,
113,Tranche,SG5,LOC,3227,Z21,,Tranche,X,Tranche
114,Tranche,SG5,LOC,3225,,,ID der Tranche,X [950],
115,Messlokation,SG5,,,,,,,
116,Messlokation,SG5,,,,,,,
117,Messlokation,SG5,LOC,,,,,,
118,Messlokation,SG5,LOC,3227,Z17,,Messlokation,,Messlokation
119,Messlokation,SG5,LOC,3225,,,ID der Messlokation,,
120,Prüfidentifikator,SG6,,,,,,Muss,
121,Prüfidentifikator,SG6,,,,,,Muss,
122,Prüfidentifikator,SG6,RFF,,,,,Muss,
123,Prüfidentifikator,SG6,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
124,Prüfidentifikator,SG6,RFF,1154,55077,,MPES / Anmeldung,X,MPES / Anmeldung
125,Prüfidentifikator,SG6,RFF,1154,55078,,MPES / BestätigungAnmeldung,,
126,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,,,,,,,
127,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,,,,,,,
128,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,,,,,,
129,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,1153,TN,,Transaktions-Referenznummer,,Transaktions-Referenznummer
130,Referenz Vorgangsnummer (aus Anfragenachricht),SG6,RFF,1154,,,Vorgangsnummer,,
131,Referenz auf die ID der Marktlokation für Termine der Marktlokation,SG6,,,,,,Kann [624],
132,Referenz auf die ID der Marktlokation für Termine der Marktlokation,SG6,,,,,,Kann [624],
133,Referenz auf die ID der Marktlokation für Termine der Marktlokation,SG6,RFF,,,,,Muss [636],
134,Referenz auf die ID der Marktlokation für Termine der Marktlokation,SG6,RFF,1153,Z18,,Marktlokation,X,Marktlokation
135,Referenz auf die ID der Marktlokation für Termine der Marktlokation,SG6,RFF,1154,,,ID der Marktlokation,X [950],
136,Turnusablesung des MSB,SG6,,,,,,,
137,Turnusablesung des MSB,SG6,,,,,,,
138,Turnusablesung des MSB,SG6,DTM,,,,,,
139,Turnusablesung des MSB,SG6,DTM,2005,752,,Turnusablesung,,Turnusablesung
140,Turnusablesung des MSB,SG6,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
141,Turnusablesung des MSB,SG6,DTM,2379,104,,MMWW-MMWW,,MMWW-MMWW
142,Turnusablesung des MSB,SG6,DTM,2379,106,,MMDD,,
143,Referenz auf die Lokationsbündelstruktur,SG6,,,,,,,
