,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedinung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,PARTIN,,Partnerstammdaten,X,Partnerstammdaten
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,20B,,Ausgabe 2020 - B,X,Ausgabe 2020 - B
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,1.0c,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,10,,Partnerstammdaten,X,Partnerstammdaten
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Beginn der Nachricht,,BGM,1373,11,,Dokument nichtverfügbar,S [9],Dokument nichtverfügbar
11,Nachrichtendatum,,,,,,,Muss,
12,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
13,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],
14,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
15,Prüfidentifikator,SG1,,,,,,Muss,
16,Prüfidentifikator,SG1,,,,,,Muss,
17,Prüfidentifikator,SG1,RFF,,,,,Muss,
18,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
19,Prüfidentifikator,SG1,RFF,1154,37000,,ÜbermittlungKommunikationsdatendes LF,,ÜbermittlungKommunikationsdatendes LF
20,Versionsnummer,SG1,,,,,,Muss,
21,Versionsnummer,SG1,,,,,,Muss,
22,Versionsnummer,SG1,RFF,,,,,Muss,
23,Versionsnummer,SG1,RFF,1153,AGK,,Anwendungsreferenznummer,X,Anwendungsreferenznummer
24,Versionsnummer,SG1,RFF,1056,,,Versionsnummer,X [908][505],
25,Gültig Ab,SG1,,,,,,,
26,Gültig Ab,SG1,,,,,,Soll [4],
27,Gültig Ab,SG1,DTM,,,,,Soll [4],
28,Gültig Ab,SG1,DTM,2005,157,,"Gültigkeit, Beginndatum",X,"Gültigkeit, Beginndatum"
29,Gültig Ab,SG1,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
30,Gültig Ab,SG1,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
31,Vorgängerversion,SG1,,,,,,Soll [4],
32,Vorgängerversion,SG1,,,,,,Soll [4],
33,Vorgängerversion,SG1,RFF,,,,,Muss,
34,Vorgängerversion,SG1,RFF,1153,ACW,,Referenznummer einervorangegangenenNachricht,X,Referenznummer einervorangegangenenNachricht
35,Vorgängerversion,SG1,RFF,1056,,,Versionsnummer,X [908],
36,MP-ID Absender,SG2,,,,,,Muss,
37,MP-ID Absender,SG2,,,,,,Muss,
38,MP-ID Absender,SG2,NAD,,,,,Muss,
39,MP-ID Absender,SG2,NAD,3035,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,Dokumenten-/Nachrichtenausstellerbzw. -absender
40,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X [1],
41,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,GS1
42,Ansprechpartner,SG3,,,,,,Kann,
43,Ansprechpartner,SG3,,,,,,Kann,
44,Ansprechpartner,SG3,CTA,,,,,Muss,
45,Ansprechpartner,SG3,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
46,Ansprechpartner,SG3,CTA,3412,,,Name vom Ansprechpartner,X,
47,Kommunikationsverbindung,SG3,,,,,,,
48,Kommunikationsverbindung,SG3,,,,,,Muss,
49,Kommunikationsverbindung,SG3,COM,,,,,Muss,
50,Kommunikationsverbindung,SG3,COM,3148,,,Nummer / Adresse,X (([939][6])∨ ([940][7]))∧ [502],
51,Kommunikationsverbindung,SG3,COM,3155,EM,,Elektronische Post,X [1P0..1],Elektronische Post
52,MP-ID Empfänger,SG2,,,,,,Muss,
53,MP-ID Empfänger,SG2,,,,,,Muss,
54,MP-ID Empfänger,SG2,NAD,,,,,Muss,
55,MP-ID Empfänger,SG2,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
56,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X [1],
57,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,GS1
58,Abschnitts-Kontrollsegment,,,,,,,Muss,
59,Abschnitts-Kontrollsegment,,UNS,0081,D,,Trennung von Kopf- undPositionsteil,X,Trennung von Kopf- undPositionsteil
60,Name und Adresse des Unternehmens,SG4,,,,,,Muss [10],
61,Name und Adresse des Unternehmens,SG4,,,,,,Muss [10],
62,Name und Adresse des Unternehmens,SG4,NAD,,,,,Muss,
63,Name und Adresse des Unternehmens,SG4,NAD,3035,SU,,Lieferant,,Lieferant
64,Name und Adresse des Unternehmens,SG4,NAD,3036,,,Name,X [506],
65,Name und Adresse des Unternehmens,SG4,NAD,3045,Z02,,Struktur derFirmenbezeichnung,X,Struktur derFirmenbezeichnung
66,Name und Adresse des Unternehmens,SG4,NAD,3042,,,Straße und Hausnummer oderPostfach,X [506],
67,Name und Adresse des Unternehmens,SG4,NAD,3164,,,Ort,X [506],
68,Name und Adresse des Unternehmens,SG4,NAD,3251,,,Postleitzahl,M [2] ∧[506]S [3] ∧ [506],
69,Name und Adresse des Unternehmens,SG4,NAD,3207,,,"Ländername, Code",X [506],
70,Bankverbindung,SG4,,,,,,,
71,Bankverbindung,SG4,,,,,,Muss,
72,Bankverbindung,SG4,FII,,,,,Muss,
73,Bankverbindung,SG4,FII,3035,BK,,Kreditinstitut,X,Kreditinstitut
74,Bankverbindung,SG4,FII,3194,IBAN,,,X,
75,Bankverbindung,SG4,FII,3192,,,Name des Kontoinhabers,X,
76,Bankverbindung,SG4,FII,3192,,,Name des Kontoinhabers,K,
77,Bankverbindung,SG4,FII,3433,BIC,,,X,
78,Bankverbindung,SG4,FII,3432,,,Name des Kredinstituts,X,
79,Internetseite (URL),SG4,,,,,,,
80,Internetseite (URL),SG4,,,,,,Muss,
81,Internetseite (URL),SG4,FTX,,,,,Muss,
82,Internetseite (URL),SG4,FTX,4451,Z13,,Internetseite,X,Internetseite
83,Internetseite (URL),SG4,FTX,4440,,,Internetseite,X,
84,Gericht und Handelsregister-Nummer,SG4,,,,,,,
85,Gericht und Handelsregister-Nummer,SG4,,,,,,Soll [3],
86,Gericht und Handelsregister-Nummer,SG4,FTX,,,,,Soll [3],
87,Gericht und Handelsregister-Nummer,SG4,FTX,4451,Z15,,Gericht undHandelsregister-Nummer,X,Gericht undHandelsregister-Nummer
88,Gericht und Handelsregister-Nummer,SG4,FTX,4440,,,Gericht,X,
89,Gericht und Handelsregister-Nummer,SG4,FTX,4440,,,Handelsregister-Nummer,X,
90,"Steuernummer, Umsatzsteuernummer",SG6,,,,,,Muss [504],
91,"Steuernummer, Umsatzsteuernummer",SG6,,,,,,Muss [504],
92,"Steuernummer, Umsatzsteuernummer",SG6,RFF,,,,,Muss,
93,"Steuernummer, Umsatzsteuernummer",SG6,RFF,1153,VA,,Umsatzsteuernummer,X [2P0..1] ⊻[3P1..1],Umsatzsteuernummer
94,"Steuernummer, Umsatzsteuernummer",SG6,RFF,1154,,,"Referenz, Identifikation",X,
95,Faxnummer,SG6,,,,,,,
96,Faxnummer,SG6,,,,,,Kann,
97,Faxnummer,SG6,RFF,,,,,Kann,
98,Faxnummer,SG6,RFF,1153,Z25,,Faxnummer,X,Faxnummer
99,Faxnummer,SG6,RFF,1154,,,Faxnummer,X [940],
100,Erreichbarkeit an Werktagen,SG12,,,,,,Muss,
101,Erreichbarkeit an Werktagen,SG12,,,,,,Muss,
102,Erreichbarkeit an Werktagen,SG12,CCI,,,,,Muss,
103,Erreichbarkeit an Werktagen,SG12,CCI,7059,Z40,,Erreichbarkeit desUnternehmens,X,Erreichbarkeit desUnternehmens
104,Erreichbarkeit,SG12,,,,,,,
105,Erreichbarkeit,SG12,,,,,,Muss,
106,Erreichbarkeit,SG12,DTM,,,,,Muss,
107,Erreichbarkeit,SG12,DTM,2005,Z36,,Verfügbarkeit Montag,X [1P1..1],Verfügbarkeit Montag
108,Erreichbarkeit,SG12,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [503],
109,Erreichbarkeit,SG12,DTM,2379,501,,HHMMHHMM,X,HHMMHHMM
110,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,,,,,,Muss [10],
111,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,,,,,,Muss [10],
112,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,NAD,,,,,Muss,
113,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,NAD,3035,Z10,,AnsprechpartnerÜbertragungsweg /Datenaustausch,X,AnsprechpartnerÜbertragungsweg /Datenaustausch
114,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,NAD,3036,,,Name,X [500],
115,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,NAD,3045,Z02,,Struktur derFirmenbezeichnung,X,Struktur derFirmenbezeichnung
116,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,NAD,3042,,,Straße und Hausnummer oderPostfach,X,
117,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,NAD,3164,,,Ort,X,
118,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,NAD,3251,,,Postleitzahl,M [2]S [3],
119,Name und Anschrift Ansprechpartner Übertragungsweg / Datenaustausch,SG4,NAD,3207,,,"Ländername, Code",X,
120,Ansprechpartner,SG7,,,,,,Muss,
121,Ansprechpartner,SG7,,,,,,Muss,
122,Ansprechpartner,SG7,CTA,,,,,Muss,
123,Ansprechpartner,SG7,CTA,3139,IC,,Informationskontakt,X,Informationskontakt
124,Ansprechpartner,SG7,CTA,3412,,,Name der organisatorischenEinheit,X [501],
125,Kommunikationsverbindung,SG7,,,,,,,
126,Kommunikationsverbindung,SG7,,,,,,Muss,
127,Kommunikationsverbindung,SG7,COM,,,,,Muss,
128,Kommunikationsverbindung,SG7,COM,3148,,,Nummer / Adresse,X (([939][6])∨ ([940][8]))∧ [502],
129,Kommunikationsverbindung,SG7,COM,3155,EM,,Elektronische Post,X [1P1..1],Elektronische Post
130,Name und Anschrift Ansprechpartner Rahmenverträge,SG4,,,,,,Muss [10] ∧[21],
131,Name und Anschrift Ansprechpartner Rahmenverträge,SG4,,,,,,Muss [10] ∧[21],
132,Name und Anschrift Ansprechpartner Rahmenverträge,SG4,NAD,,,,,Muss,
133,Name und Anschrift Ansprechpartner Rahmenverträge,SG4,NAD,3035,Z11,,AnsprechpartnerRahmenverträge,X,AnsprechpartnerRahmenverträge
134,Name und Anschrift Ansprechpartner Rahmenverträge,SG4,NAD,3036,,,Name,X [500],
135,Name und Anschrift Ansprechpartner Rahmenverträge,SG4,NAD,3045,Z02,,Struktur derFirmenbezeichnung,X,Struktur derFirmenbezeichnung
