,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,,,,,Muss,
2,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,ORDERS,,Bestellung,X,
4,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,09B,,Ausgabe 2009 - B,X,
6,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,1.4,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
8,Beginn der Nachricht,,,,,,,Muss,
9,Beginn der Nachricht,,BGM,,,,,Muss,
10,Beginn der Nachricht,,BGM,1001,Z92,,Einrichtung Konfigurationaufgrund Zuordnung LF,X,
11,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
12,Nachrichtendatum,,,,,,,Muss,
13,Nachrichtendatum,,DTM,,,,,Muss,
14,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
15,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt. 
[931] Format: ZZZ = +00"
16,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
17,Ausführungsdatum,,,,,,,Muss,
18,Ausführungsdatum,,DTM,,,,,Muss,
19,Ausführungsdatum,,DTM,2005,203,,Ausführungsdatum/-zeit,X,
20,Ausführungsdatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
21,Ausführungsdatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
22,Kundenanlage nach §20 Abs.1d EnWG ,,,,,,,Soll [172],
23,Kundenanlage nach §20 Abs.1d EnWG ,,IMD,,,,,Soll [172],[172] Wenn es sich bei der in SG2 LOC+172 DE3225 genannten Lokation um die Integration in eine Kundenanlage oder Herauslösung aus einer Kundenanlage nach §20 Abs.1d EnWG handelt. Details siehe UTILMD AHB Strom.
24,Kundenanlage nach §20 Abs.1d EnWG ,,IMD,7081,Z66,,Beendigung Konfigurationaufgrund Überführung derMarktlokation zu ruhenderMarktlokation,X,
25,Kundenanlage nach §20 Abs.1d EnWG ,,IMD,7081,Z67,,Aktivierung Konfigurationin der derzeit ruhendenMarktlokation,X,
26,Prüfidentifikator,SG1,,,,,,Muss,
27,Prüfidentifikator,SG1,,,,,,Muss,
28,Prüfidentifikator,SG1,RFF,,,,,Muss,
29,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,
30,Prüfidentifikator,SG1,RFF,1154,17134,,Einrichtung Konfigurationaufgrund Zuordnung LF vonNB an MSB,X,
31,MP-ID Absender,SG2,,,,,,Muss,
32,MP-ID Absender,SG2,,,,,,Muss,
33,MP-ID Absender,SG2,NAD,,,,,Muss,
34,MP-ID Absender,SG2,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,
35,MP-ID Absender,SG2,NAD,3039,,,MP-ID,X [61],[61] MP-ID nur aus Sparte Strom
36,MP-ID Absender,SG2,NAD,3055,9,,GS1,X,
37,MP-ID Absender,SG2,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
38,Ansprechpartner,SG5,,,,,,Kann,
39,Ansprechpartner,SG5,,,,,,Kann,
40,Ansprechpartner,SG5,CTA,,,,,Muss,
41,Ansprechpartner,SG5,CTA,3139,,,,IC,
42,Ansprechpartner,SG5,CTA,3412,,,Kontakt,X,
43,Kommunikationsverbindung,SG5,,,,,,,
44,Kommunikationsverbindung,SG5,,,,,,Muss,
45,Kommunikationsverbindung,SG5,COM,,,,,Muss,
46,Kommunikationsverbindung,SG5,COM,3148,,,"Kommunikationsadresse,Identifikation",X (([939] [147]) ∨ ([940][148])) ∧ [567],"[147] wenn im DE3155 in demselben COM der Code EM vorhanden ist 
[148] wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist 
[567] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden 
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten 
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen"
47,Kommunikationsverbindung,SG5,COM,3155,EM,,Elektronische Post,X [1P0..1],
48,Kommunikationsverbindung,SG5,COM,3155,FX,,Telefax,X [1P0..1],
49,Kommunikationsverbindung,SG5,COM,3155,TE,,Telefon,X [1P0..1],
50,Kommunikationsverbindung,SG5,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
51,Kommunikationsverbindung,SG5,COM,3155,AL,,Handy,X [1P0..1],
52,MP-ID Empfänger,SG2,,,,,,Muss,
53,MP-ID Empfänger,SG2,,,,,,Muss,
54,MP-ID Empfänger,SG2,NAD,,,,,Muss,
55,MP-ID Empfänger,SG2,NAD,3035,,,,MR,
56,MP-ID Empfänger,SG2,NAD,3039,,,MP-ID,X [61],[61] MP-ID nur aus Sparte Strom
57,MP-ID Empfänger,SG2,NAD,3055,9,,GS1,X,
58,MP-ID Empfänger,SG2,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
59,Meldepunkt,SG2,,,,,,Muss,
60,Meldepunkt,SG2,,,,,,Muss,
61,Meldepunkt,SG2,NAD,,,,,Muss,
62,Meldepunkt,SG2,NAD,3035,,,,DP,
63,Meldepunkt,SG2,,,,,,,
64,Meldepunkt,SG2,,,,,,Muss,
65,Meldepunkt,SG2,LOC,,,,,Muss,
66,Meldepunkt,SG2,LOC,3227,,,,172,
67,Meldepunkt,SG2,LOC,3225,,,Identifikator,X [950] [521],"[521] Hinweis: Verwendung der ID der Marktlokation 
[950] Format: Marktlokations-ID"
68,Referenz auf ID der Tranche,SG3,,,,,,Soll [2096] ∧ [2002] ∧[166] ,
69,Referenz auf ID der Tranche,SG3,,,,,,Soll [2096] ∧ [2002] ∧[166] ,"[166] Wenn es sich um die Einrichtung der Konfigurationen aufgrund einer Zuordnung eines LF zu einer Tranche handelt 
[2002] Ist mindestens zwei Mal anzugeben 
[2096] Die SG3 Referenz auf die ID der Tranche ist so oft zu wiederholen, wie ab dem DTM+203 (Ausführungsdatum) Tranchen zu der in der SG2 genannten Marktlokation vorhanden sind."
70,Referenz auf ID der Tranche,SG3,RFF,,,,,Muss,
71,Referenz auf ID der Tranche,SG3,RFF,1153,Z20,,Tranche,X,
72,Referenz auf ID der Tranche,SG3,RFF,1154,,,ID der Tranche,X [950],[950] Format: Marktlokations-ID
73,Referenz auf die ID der Marktlokation der Kundenanlage,SG3,,,,,,Muss [173] ⊻ [174],
74,Referenz auf die ID der Marktlokation der Kundenanlage,SG3,,,,,,Muss [173] ⊻ [174],"[173] Wenn IMD++Z66 (Beendigung Konfiguration aufgrund Überführung der Marktlokation zu ruhender Marktlokation) vorhanden 
[174] Wenn IMD++Z67 (Aktivierung Konfiguration in der derzeit ruhenden Marktlokation) vorhanden"
75,Referenz auf die ID der Marktlokation der Kundenanlage,SG3,RFF,,,,,Muss,
76,Referenz auf die ID der Marktlokation der Kundenanlage,SG3,RFF,1153,Z59,,MarktlokationKundenanlage,X,
77,Referenz auf die ID der Marktlokation der Kundenanlage,SG3,RFF,1154,,,ID der Marktlokation,X [950],[950] Format: Marktlokations-ID
78,Lieferant der Lokation,SG2,,,,,,Muss ([167] ∧ [176] ∧[2098]) ⊻ ((([168] ∧ [176])⊻ [175]) ∧ [2099]),
79,Lieferant der Lokation,SG2,,,,,,Muss ([167] ∧ [176] ∧[2098]) ⊻ ((([168] ∧ [176])⊻ [175]) ∧ [2099]),"[167] Wenn SG2 NAD+DP (Meldepunkt), SG3 RFF+Z20 (Referenz auf ID der Tranche)"
80,Lieferant der Lokation,SG2,NAD,,,,,Muss,
81,Lieferant der Lokation,SG2,NAD,3035,,,,SU,
82,Lieferant der Lokation,SG2,NAD,3039,,,MP-ID,X [61],[61] MP-ID nur aus Sparte Strom
83,Lieferant der Lokation,SG2,NAD,3055,9,,GS1,X,
84,Lieferant der Lokation,SG2,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
85,Referenz auf die ID der Lokation,SG3,,,,,,Muss,
86,Referenz auf die ID der Lokation,SG3,,,,,,Muss,
