Segmentname_FV2210,Segmentgruppe_FV2210,Segment_FV2210,Datenelement_FV2210,Segment ID_FV2210,Code_FV2210,Qualifier_FV2210,Beschreibung_FV2210,Bedingungsausdruck_FV2210,Bedingung_FV2210,Unnamed: 0_FV2210,Änderung,changed_entries,Segmentname_FV2304,Segmentgruppe_FV2304,Segment_FV2304,Datenelement_FV2304,Segment ID_FV2304,Code_FV2304,Qualifier_FV2304,Beschreibung_FV2304,Bedingungsausdruck_FV2304,Bedingung_FV2304,Unnamed: 0_FV2304
Nachrichten-Kopfsegment,,UNH,,,,,,Muss [12],"[12] je UNB ist nur eine Nachricht mit BGM+Z04 in der Übertragungsdatei erlaubt (nur eine Nachricht je Übertragungsdatei)
[13] je UNB ist nur eine Nachricht mit BGM+Z32 in der Übertragungsdatei erlaubt (nur eine Nachricht je Übertragungsdatei)",0,,,Nachrichten-Kopfsegment,,UNH,,,,,,Muss [12],"[12] je UNB ist nur eine Nachricht mit BGM+Z04 in der Übertragungsdatei erlaubt (nur eine Nachricht je Übertragungsdatei)
[13] je UNB ist nur eine Nachricht mit BGM+Z32 in der Übertragungsdatei erlaubt (nur eine Nachricht je Übertragungsdatei)",0
Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,,1,,,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,,1
Nachrichten-Kopfsegment,,UNH,0065,,PRICAT,,Preisliste/Katalog,X,,2,,,Nachrichten-Kopfsegment,,UNH,0065,,PRICAT,,Preisliste/Katalog,X,,2
Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,,3,,,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,,3
Nachrichten-Kopfsegment,,UNH,0054,,20B,,Ausgabe 2020 - B,X,,4,,,Nachrichten-Kopfsegment,,UNH,0054,,20B,,Ausgabe 2020 - B,X,,4
Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,,5,,,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,,5
Nachrichten-Kopfsegment,,UNH,0057,,2.0a,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,6,ÄNDERUNG,Code_FV2210|Code_FV2304,Nachrichten-Kopfsegment,,UNH,0057,,2.0b,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,6
Beginn der Nachricht,,BGM,,,,,,Muss,,7,,,Beginn der Nachricht,,BGM,,,,,,Muss,,7
Beginn der Nachricht,,BGM,1001,,Z04,,Ausgleichsenergiepreis,X,,8,,,Beginn der Nachricht,,BGM,1001,,Z04,,Ausgleichsenergiepreis,X,,8
Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,,9,,,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,,9
Betrachtungszeitintervall,,DTM,,,,,,Muss,,10,,,Betrachtungszeitintervall,,DTM,,,,,,Muss,,10
Betrachtungszeitintervall,,DTM,2005,,492,,"Bilanzierungsdatum, - zeit, -periode",X,,11,,,Betrachtungszeitintervall,,DTM,2005,,492,,"Bilanzierungsdatum, - zeit, -periode",X,,11
Betrachtungszeitintervall,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X,,12,,,Betrachtungszeitintervall,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X,,12
Betrachtungszeitintervall,,DTM,2379,,610,,CCYYMM,X,,13,,,Betrachtungszeitintervall,,DTM,2379,,610,,CCYYMM,X,,13
Nachrichtendatum,,DTM,,,,,,Muss,,14,,,Nachrichtendatum,,DTM,,,,,,Muss,,14
Nachrichtendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,15,,,Nachrichtendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,15
Nachrichtendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00",16,,,Nachrichtendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00",16
Nachrichtendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,17,,,Nachrichtendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,17
Prüfidentifikator,SG1,,,,,,,Muss,,18,,,Prüfidentifikator,SG1,,,,,,,Muss,,18
Prüfidentifikator,SG1,RFF,,,,,,Muss,,19,,,Prüfidentifikator,SG1,RFF,,,,,,Muss,,19
