,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,IFTSTA,,Multimodaler Statusbericht,X,
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,18A,,Ausgabe 2018 - A,X,
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,2.0d,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z33,,GPKE Meldung(en),X,
9,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
10,Dokumentendatum,,,,,,,Muss,
11,Dokumentendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
12,Dokumentendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt 
[931] Format: ZZZ = +00"
13,Dokumentendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,
14,MP-ID Empfänger,SG1,,,,,,Muss,
15,MP-ID Empfänger,SG1,,,,,,Muss,
16,MP-ID Empfänger,SG1,NAD,,,,,Muss,
17,MP-ID Empfänger,SG1,NAD,3035,,,,MR,
18,MP-ID Empfänger,SG1,NAD,3039,,,MP-ID,X [27],[27] Nur MP-ID aus Sparte Strom
19,MP-ID Empfänger,SG1,NAD,3055,9,,GS1,X,
20,MP-ID Empfänger,SG1,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
21,MP-ID Absender,SG1,,,,,,Muss,
22,MP-ID Absender,SG1,,,,,,Muss,
23,MP-ID Absender,SG1,NAD,,,,,Muss,
24,MP-ID Absender,SG1,NAD,3035,Nachrichtenaussteller bzw.-absender,,,MS,
25,MP-ID Absender,SG1,NAD,3039,,,MP-ID,X [27],[27] Nur MP-ID aus Sparte Strom
26,MP-ID Absender,SG1,NAD,3055,9,,GS1,X,
27,MP-ID Absender,SG1,NAD,3055,293,,"DE, BDEW (Bundesverbandder Energie- undWasserwirtschaft e.V.)",X,
28,Ansprechpartner,SG2,,,,,,Kann,
29,Ansprechpartner,SG2,,,,,,Kann,
30,Ansprechpartner,SG2,CTA,,,,,Muss,
31,Ansprechpartner,SG2,CTA,3139,,,,IC,
32,Ansprechpartner,SG2,CTA,3412,,,Kontakt,X,
33,Kommunikationsverbindung,SG2,,,,,,,
34,Kommunikationsverbindung,SG2,,,,,,Muss,
35,Kommunikationsverbindung,SG2,COM,,,,,Muss,
36,Kommunikationsverbindung,SG2,COM,3148,,,Nummer / E-Mail Adresse,X,
37,Kommunikationsverbindung,SG2,COM,3155,EM,,E-Mail,X [1P0..1],
38,Kommunikationsverbindung,SG2,COM,3155,FX,,Telefax,X [1P0..1],
39,Kommunikationsverbindung,SG2,COM,3155,TE,,Telefon,X [1P0..1],
40,Kommunikationsverbindung,SG2,COM,3155,AJ,,weiteres Telefon,X [1P0..1],
41,Kommunikationsverbindung,SG2,COM,3155,AL,,Handy,X [1P0..1],
42,Sendungsdaten,SG14,,,,,,Muss,
43,Sendungsdaten,SG14,,,,,,Muss,
44,Sendungsdaten,SG14,CNI,,,,,Muss,
45,Sendungsdaten,SG14,CNI,1490,,,Vorgangsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht bei 1 beginnend und fortlaufend aufsteigend"
46,Bestellung,SG15,,,,,,Muss,
47,Bestellung,SG15,,,,,,Muss,
48,Bestellung,SG15,STS,,,,,Muss,
49,Bestellung,SG15,STS,9015,Z21,,Bestellung,X,
50,Bestellung,SG15,STS,4405,Z42,,Antwort des Dritten,X [527],[527] Hinweis: Dritter ist hier der MSB
51,Bestellung,SG15,STS,9013,,,Code des Prüfschritts,X,
52,Bestellung,SG15,STS,1131,E_0474,,EBD Nr. E_0474,X,
53,Prüfidentifikator,SG15,,,,,,,
54,Prüfidentifikator,SG15,,,,,,Muss,
55,Prüfidentifikator,SG15,RFF,,,,,Muss,
56,Prüfidentifikator,SG15,RFF,1153,Z13,,Prüfidentifikator,X,
57,Prüfidentifikator,SG15,RFF,1154,21034,,GPKE / Ablehnen oderScheitern Bestellung,X,
58,Referenz auf die Bestellung,SG15,,,,,,,
59,Referenz auf die Bestellung,SG15,,,,,,Muss,
60,Referenz auf die Bestellung,SG15,RFF,,,,,Muss,
61,Referenz auf die Bestellung,SG15,RFF,1153,AGI,,Beantragungsnummer,X,
62,Referenz auf die Bestellung,SG15,RFF,1154,,,"Referenz, Identifikation",X [519],[519] Hinweis: Aus ORDERS BGM DE1004
63,Sendungspositionseinzelhei ten,SG25,,,,,,Muss [113],
64,Sendungspositionseinzelhei ten,SG25,,,,,,Muss [113],[113] Wenn STS+Z21+Z42+A99: E_0474 in dieser SG14 vorhanden
65,Sendungspositionseinzelhei ten,SG25,GID,,,,,Muss,
66,Sendungspositionseinzelhei ten,SG25,GID,1496,,,Sendungsposition,X [903],[903] Format: Möglicher Wert: 1
67,Freier Text,SG25,,,,,,,
68,Freier Text,SG25,,,,,,Muss,
69,Freier Text,SG25,FTX,,,,,Muss,
70,Freier Text,SG25,FTX,4451,(für allgemeine Hinweise),,,ACB,
71,Freier Text,SG25,FTX,4440,,,Freier Text,X,
72,Nachrichten-Endesegment,,,,,,,Muss,
73,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
74,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
