Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Qualifier_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410,Unnamed: 0_FV2410,Änderung,changed_entries,Segmentname_FV2504,Segmentgruppe_FV2504,Segment_FV2504,Datenelement_FV2504,Segment ID_FV2504,Code_FV2504,Qualifier_FV2504,Beschreibung_FV2504,Bedingungsausdruck_FV2504,Bedingung_FV2504,Unnamed: 0_FV2504
Nutzdaten-Kopfsegment,,UNB,,00002,,,,Muss,,0,,,Nutzdaten-Kopfsegment,,UNB,,00002,,,,Muss,,0
Nutzdaten-Kopfsegment,,UNB,0001,00002,UNOC,,UN/ECE-Zeichensatz C,X,,1,,,Nutzdaten-Kopfsegment,,UNB,0001,00002,UNOC,,UN/ECE-Zeichensatz C,X,,1
Nutzdaten-Kopfsegment,,UNB,0002,00002,3,,Version 3,X,,2,,,Nutzdaten-Kopfsegment,,UNB,0002,00002,3,,Version 3,X,,2
Nutzdaten-Kopfsegment,,UNB,0004,00002,,,MP-ID Absender,X,,3,,,Nutzdaten-Kopfsegment,,UNB,0004,00002,,,MP-ID Absender,X,,3
Nutzdaten-Kopfsegment,,UNB,0007,00002,14,,GS1,X,,4,,,Nutzdaten-Kopfsegment,,UNB,0007,00002,14,,GS1,X,,4
Nutzdaten-Kopfsegment,,UNB,0007,,502,,"DE, DVGW Service & Consult GmbH",X,,5,,,Nutzdaten-Kopfsegment,,UNB,0007,,502,,"DE, DVGW Service & Consult GmbH",X,,5
Nutzdaten-Kopfsegment,,UNB,0010,00002,,,MP-ID Empfänger,X,,6,,,Nutzdaten-Kopfsegment,,UNB,0010,00002,,,MP-ID Empfänger,X,,6
Nutzdaten-Kopfsegment,,UNB,0007,00002,14,,GS1,X,,7,,,Nutzdaten-Kopfsegment,,UNB,0007,00002,14,,GS1,X,,7
Nutzdaten-Kopfsegment,,UNB,0007,,502,,"DE, DVGW Service & Consult GmbH",X,,8,,,Nutzdaten-Kopfsegment,,UNB,0007,,502,,"DE, DVGW Service & Consult GmbH",X,,8
Nutzdaten-Kopfsegment,,UNB,0017,00002,,,Datum der Erstellung,X,,9,,,Nutzdaten-Kopfsegment,,UNB,0017,00002,,,Datum der Erstellung,X,,9
