,Segmentname,Segmentgruppe,Segment,Datenelement,Segment ID,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,,,,,,Muss,
2,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,,COMDIS,,Handelsunstimmigkeit,X,
4,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,,17A,,Ausgabe 2017 - A,X,
6,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,,1.0c,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
8,Beginn der Nachricht,,,,,,,,Muss,
9,Beginn der Nachricht,,BGM,,,,,,Muss,
10,Beginn der Nachricht,,BGM,1001,,456,,Belastungsanzeige,X,
11,Beginn der Nachricht,,BGM,1001,,739,,"MSCONS, die eineINVOIC unterstützt",,
12,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,
13,Prüfidentifikator,,,,,,,,Muss,
14,Prüfidentifikator,,RFF,,,,,,Muss,
15,Prüfidentifikator,,RFF,1153,,Z13,,Prüfidentifikator,X,
16,Prüfidentifikator,,RFF,1154,,29001,,Ablehnung REMADV,X,
17,Prüfidentifikator,,RFF,1154,,29002,,Ablehnung IFTSTA,,
18,Dokumentendatum,,,,,,,,Muss,
19,Dokumentendatum,,DTM,,,,,,Muss,
20,Dokumentendatum,,DTM,2005,,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
21,Dokumentendatum,,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931],[931] Format: ZZZ = +00
22,Dokumentendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
23,Währungsangaben,,,,,,,,Muss,
24,Währungsangaben,,CUX,,,,,,Muss,
25,Währungsangaben,,CUX,6347,,2,,Referenzwährung,X,
26,Währungsangaben,,CUX,6345,,EUR,,Euro,X,
27,Währungsangaben,,CUX,6343,,4,,Währung der Rechnung,X,
28,MP-ID Absender,SG1,,,,,,,Muss,
29,MP-ID Absender,SG1,,,,,,,Muss,
30,MP-ID Absender,SG1,NAD,,,,,,Muss,
31,MP-ID Absender,SG1,NAD,3035,,,,"Beteiligter, Qualifier",,
32,MP-ID Absender,SG1,NAD,3035,,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
33,MP-ID Absender,SG1,NAD,3039,,,,MP-ID,X,[3] Nur MP-ID aus Sparte Strom
34,MP-ID Absender,SG1,NAD,3055,,9,,GS1,X,
35,MP-ID Absender,SG1,NAD,3055,,293,,"DE, BDEW(Bundesverband der",X,
36,Ansprechpartner,SG1,,,,,,,,
37,Ansprechpartner,SG1,,,,,,,Muss,
38,Ansprechpartner,SG1,CTA,,,,,,Muss,
39,Ansprechpartner,SG1,CTA,3139,,,,"Funktion des Ansprechpartners,Code",,
40,Ansprechpartner,SG1,CTA,3139,,IC,,Informationsstelle,X,
41,Ansprechpartner,SG1,CTA,3412,,,,Abteilung oder Bearbeiter,X,
42,Kommunikationsverbindung,SG1,,,,,,,,
43,Kommunikationsverbindung,SG1,,,,,,,Muss,
44,Kommunikationsverbindung,SG1,COM,,,,,,Muss,
45,Kommunikationsverbindung,SG1,COM,3148,,,,"Kommunikationsadresse,Identifikation",X,
46,Kommunikationsverbindung,SG1,COM,3155,,EM,,E-Mail,X [1P0..1],
47,Kommunikationsverbindung,SG1,COM,3155,,FX,,Telefax,X [1P0..1],
48,Kommunikationsverbindung,SG1,COM,3155,,TE,,Telefon,X [1P0..1],
49,Kommunikationsverbindung,SG1,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
50,Kommunikationsverbindung,SG1,COM,3155,,AL,,Handy,X [1P0..1],
51,MP-ID Empfänger,SG1,,,,,,,Muss,
52,MP-ID Empfänger,SG1,,,,,,,Muss,
53,MP-ID Empfänger,SG1,NAD,,,,,,Muss,
54,MP-ID Empfänger,SG1,NAD,3035,,,,"Beteiligter, Qualifier",,
55,MP-ID Empfänger,SG1,NAD,3035,,MR,,Nachrichtenempfänger,X,
56,MP-ID Empfänger,SG1,NAD,3039,,,,MP-ID,X,[3] Nur MP-ID aus Sparte Strom
57,MP-ID Empfänger,SG1,NAD,3055,,9,,GS1,X,
58,MP-ID Empfänger,SG1,NAD,3055,,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
59,MP-ID Empfänger,SG1,NAD,3055,,332,,"DE, DVGW Service &Consult GmbH",X,
60,Dokument-/Nachricht- Einzelheiten,SG2,,,,,,,Muss,
61,Dokument-/Nachricht- Einzelheiten,SG2,,,,,,,Muss,
62,Dokument-/Nachricht- Einzelheiten,SG2,DOC,,,,,,Muss,
63,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1001,,380,,Handelsrechnung,X,
64,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1001,,270,,Lieferschein,,
65,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1001,,Z41,,Lieferschein Grund- /Arbeitspreis,,
66,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1001,,Z42,,Lieferschein Arbeits- /Leistungspreis,,"[507] Hinweis: Der Code 270 ist nur zu nutzen, wenn ein Lieferschein, der vor dem 1. 4.2021 erstellt wurde, storniert wird."
67,Dokument-/Nachricht- Einzelheiten,SG2,DOC,1004,,,,Dokumentennummer,X [505],"[505] Hinweis: BGM DE1004 aus der vorher per REMADV abgelehnten INVOIC-Nachricht 
[506] Hinweis: BGM DE1004 aus der vorher per IFTSTA abgelehnten MSCONS-"
68,angeforderter Betrag,SG2,,,,,,,,
69,angeforderter Betrag,SG2,,,,,,,Muss,
70,angeforderter Betrag,SG2,MOA,,,,,,Muss,
71,angeforderter Betrag,SG2,MOA,5025,,9,,Fälliger Betrag (inkl. USt.),X,
72,angeforderter Betrag,SG2,MOA,5004,,,,Geldbetrag,X [930],[930] Format: max. 2 Nachkommastellen
73,Begründung der Korrektheit,SG3,,,,,,,Muss,
74,Begründung der Korrektheit,SG3,,,,,,,Muss,
75,Begründung der Korrektheit,SG3,AJT,,,,,,Muss,
76,Begründung der Korrektheit,SG3,AJT,4465,,,,"Anpassungsgrund, Code",X,
77,Begründung der Korrektheit,SG3,AJT,1082,,Codeliste Strom Nr.S_0108Codeliste Strom Nr.,,PositionsnummerS_0108S_0109,X [492] ∧ [27] ∧S_0109,
78,Begründung der Korrektheit,SG3,AJT,1082,,E_0504,,EBD Nr. E_0504,X [492] ∧ [27] ∧[25],
79,Begründung der Korrektheit,SG3,AJT,1082,,E_0265,,EBD Nr. E_0265,X [492] ∧ [23] ∧[24],
80,Begründung der Korrektheit,SG3,AJT,1082,,E_0516,,EBD Nr. E_0516,X [492] ∧ [23] ∧[26],
81,Begründung der Korrektheit,SG3,AJT,1082,,E_0520,,EBD Nr. E_0520,X [492] ∧ [23] ∧[25],
82,Begründung der Korrektheit,SG3,AJT,1082,,E_1008,,EBD Nr. E_1008,X [493] ∧ [27] ∧[25],"[23] Wenn MP-ID in NAD+MS (Nachrichtensender) mit Rolle MSB vorhanden 
[24] Wenn MP-ID in NAD+MR (Nachrichtenempfänger) mit Rolle ESA vorhanden 
[25] Wenn MP-ID in NAD+MR (Nachrichtenempfänger) mit Rolle LF vorhanden 
[26] Wenn MP-ID in NAD+MR (Nachrichtenempfänger) mit Rolle NB vorhanden 
[27] Wenn MP-ID in NAD+MS (Nachrichtensender) mit Rolle NB vorhanden 
[492] Wenn MP-ID in NAD+MR (Nachrichtenempfänger) aus Sparte Strom 
[493] Wenn MP-ID in NAD+MR (Nachrichtenempfänger) aus Sparte Gas"
83,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,,,,,,,,
84,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,,,,,,,Muss [4] ⊻ [5] ⊻[20],
85,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,,,,,,Muss [4] ⊻ [5] ⊻[20],"[4] wenn SG3 AJT+Z58/Z59/ Z60/Z61/Z62+S_0109 vorhanden 
[5] wenn SG3 AJT+A01/A02/ A03/A04/A06/A07/A09/A12/ A15+E_0504 vorhanden 
[20] wenn SG3 AJT+A01/ A02/A03/A04/A06/A07/A09/ A15+E_1008 vorhanden"
86,Begründung Richtigkeit mit Angabe einer Nachrichtenreferenz,SG3,FTX,4451,,ACD,,Begründung,X,
