,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,Muss [12],
1,Nachrichten-Kopfsegment,,UNH,0062,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,PRICAT,,Preisliste/Katalog,X,Preisliste/Katalog
3,Nachrichten-Kopfsegment,,UNH,0052,D,,Entwurfs-Version,X,Entwurfs-Version
4,Nachrichten-Kopfsegment,,UNH,0054,20B,,Ausgabe 2020 - B,X,Ausgabe 2020 - B
5,Nachrichten-Kopfsegment,,UNH,0051,UN,,UN/CEFACT,X,UN/CEFACT
6,Nachrichten-Kopfsegment,,UNH,0057,2.0b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung
7,Beginn der Nachricht,,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,Z04,,Ausgleichsenergiepreis,X,Ausgleichsenergiepreis
9,Beginn der Nachricht,,BGM,1001,Z32,,PreisblattMessstellenbetrieb,,
10,Beginn der Nachricht,,BGM,1004,,,Dokumentennummer,X,
11,Betrachtungszeitintervall,,,,,,,Muss,
12,Betrachtungszeitintervall,,DTM,2005,492,,"Bilanzierungsdatum, -zeit, -periode",X,"Bilanzierungsdatum, -zeit, -periode"
13,Betrachtungszeitintervall,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X,
14,Betrachtungszeitintervall,,DTM,2379,610,,CCYYMM,X,CCYYMM
15,Nachrichtendatum,,,,,,,Muss,
16,Nachrichtendatum,,DTM,2005,137,,Dokumenten-/Nachrichtendatum/-zeit,X,Dokumenten-/Nachrichtendatum/-zeit
17,Nachrichtendatum,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] [494],
18,Nachrichtendatum,,DTM,2379,303,,CCYYMMDDHHMMZZZ,X,CCYYMMDDHHMMZZZ
19,Gültigkeitsbeginn,,,,,,,,
20,Gültigkeitsbeginn,,DTM,2005,157,,"Gültigkeit, Beginndatum",,"Gültigkeit, Beginndatum"
21,Gültigkeitsbeginn,,DTM,2380,,,"Datum oder Uhrzeit oderZeitspanne, Wert",,
22,Gültigkeitsbeginn,,DTM,2379,303,,CCYYMMDDHHMMZZZ,,CCYYMMDDHHMMZZZ
23,Vorgängerversion,SG1,,,,,,,
24,Vorgängerversion,SG1,,,,,,,
25,Vorgängerversion,SG1,RFF,,,,,,
26,Vorgängerversion,SG1,RFF,1153,ACW,,Referenznummer einervorangegangenenNachricht,,Referenznummer einervorangegangenenNachricht
27,Vorgängerversion,SG1,RFF,1154,,,"Referenz, Identifikation",,
28,Prüfidentifikator,SG1,,,,,,Muss,
29,Prüfidentifikator,SG1,,,,,,Muss,
30,Prüfidentifikator,SG1,RFF,,,,,Muss,
31,Prüfidentifikator,SG1,RFF,1153,Z13,,Prüfidentifikator,X,Prüfidentifikator
32,Prüfidentifikator,SG1,RFF,1154,27001,,Übermittlung derAusgleichsenergiepreise,X,Übermittlung derAusgleichsenergiepreise
33,Prüfidentifikator,SG1,RFF,1154,27002,,"PreisblattMessstellenbetrieb iMS,mME",,
34,Name und Anschrift,SG2,,,,,,Muss,
35,Name und Anschrift,SG2,,,,,,Muss,
36,Name und Anschrift,SG2,NAD,,,,,Muss,
37,Name und Anschrift,SG2,NAD,3035,MR,,Nachrichtenempfänger,X,Nachrichtenempfänger
