,Segmentname,Segmentgruppe,Segment,Datenelement,Segment ID,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,,,,,,Muss,
2,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,
3,Nachrichten-Kopfsegment,,UNH,0065,,UTILTS,,Netznutzungszeiten-Nachricht,X,
4,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,
5,Nachrichten-Kopfsegment,,UNH,0054,,18A,,Ausgabe 2018 - A,X,
6,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,
7,Nachrichten-Kopfsegment,,UNH,0057,,1.1b,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
8,Beginn der Nachricht,,,,,,,,Muss,
9,Beginn der Nachricht,,BGM,,,,,,Muss,
10,Beginn der Nachricht,,BGM,1001,,Z59,,AusgerollteZählzeitdefinition,X,
11,Beginn der Nachricht,,BGM,1001,,Z80,,AusgerollteSchaltzeitdefinition,,
12,Beginn der Nachricht,,BGM,1001,,Z81,,AusgerollteLeistungskurvendefinition,,
13,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,
14,Nachrichtendatum,,,,,,,,Muss,
15,Nachrichtendatum,,DTM,,,,,,Muss,
16,Nachrichtendatum,,DTM,2005,,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
17,Nachrichtendatum,,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.  
[931] Format: ZZZ = +00"
18,Nachrichtendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
19,MP-ID Absender,SG2,,,,,,,Muss,
20,MP-ID Absender,SG2,,,,,,,Muss,
21,MP-ID Absender,SG2,NAD,,,,,,Muss,
22,MP-ID Absender,SG2,NAD,3035,,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
23,MP-ID Absender,SG2,NAD,3039,,,,MP-ID,X [1],[1] Nur MP-ID aus Sparte Strom
24,MP-ID Absender,SG2,NAD,3055,,9,,GS1,X,
25,Ansprechpartner,SG3,,,,,,,Kann,
26,Ansprechpartner,SG3,,,,,,,Kann,
27,Ansprechpartner,SG3,CTA,,,,,,Muss,
28,Ansprechpartner,SG3,CTA,3139,,IC,,Informationskontakt,X,
29,Ansprechpartner,SG3,CTA,3412,,,,Name vom Ansprechpartner,X,
30,Kommunikationsverbindung,SG3,,,,,,,,
31,Kommunikationsverbindung,SG3,,,,,,,Muss,
32,Kommunikationsverbindung,SG3,COM,,,,,,Muss,
33,Kommunikationsverbindung,SG3,COM,3148,,,,Nummer / Adresse,X,
34,Kommunikationsverbindung,SG3,COM,3155,,EM,,Elektronische Post,X [1P0..1],
35,Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],
36,Kommunikationsverbindung,SG3,COM,3155,,TE,,Telefon,X [1P0..1],
37,Kommunikationsverbindung,SG3,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
38,Kommunikationsverbindung,SG3,COM,3155,,AL,,Handy,X [1P0..1],
39,MP-ID Empfänger,SG2,,,,,,,Muss,
40,MP-ID Empfänger,SG2,,,,,,,Muss,
41,MP-ID Empfänger,SG2,NAD,,,,,,Muss,
42,MP-ID Empfänger,SG2,NAD,3035,,MR,,Nachrichtenempfänger,X,
43,MP-ID Empfänger,SG2,NAD,3039,,,,MP-ID,X [1],[1] Nur MP-ID aus Sparte Strom
44,MP-ID Empfänger,SG2,NAD,3055,,9,,GS1,X,
45,MP-ID Empfänger,SG2,NAD,3055,,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
46,Vorgang,SG5,,,,,,,Muss [505],
47,Vorgang,SG5,,,,,,,Muss [505],"[505] Hinweis: Jede ausgerollte Zählzeitdefinition ist in einem eigenen IDE anzugeben  
[522] Hinweis: Jede ausgerollte Schaltzeitdefinition ist in einem eigenen IDE anzugeben  
[523] Hinweis: Jede ausgerollte Leistungskurvendefinitio n ist in einem eigenen"
48,Vorgang,SG5,IDE,,,,,,Muss,
49,Vorgang,SG5,IDE,7495,,24,,Transaktion,X,
50,Vorgang,SG5,IDE,7402,,,,Vorgangsnummer,X,
51,Code der Definition,SG5,,,,,,,,
52,Code der Definition,SG5,,,,,,,Muss,
53,Code der Definition,SG5,LOC,,,,,,Muss,
54,Code der Definition,SG5,LOC,3227,,Z09,,Code der Definition,X,
55,Code der Definition,SG5,LOC,3225,,,,Code der Definition,X [524],"[524] Hinweis: Es ist der Code einer Zählzeitdefinition anzugeben  
[525] Hinweis: Es ist der Code einer Schaltzeitdefinition anzugeben  
[526] Hinweis: Es ist der Code einer Leistungskurvendefinitio n anzugeben"
56,Gültigkeitsbeginn der ausgerollten Definition,SG5,,,,,,,,
57,Gültigkeitsbeginn der ausgerollten Definition,SG5,,,,,,,Muss,
58,Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,,,,,,Muss,
59,Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2005,,Z34,,Gültigkeitsbeginn,X,
60,Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] ∧[947],"[931] Format: ZZZ = +00  
[947] Format: MMDDHHMM = 12312300"
61,Gültigkeitsbeginn der ausgerollten Definition,SG5,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
62,Gültigkeitsende der ausgerollten Definition,SG5,,,,,,,,
63,Gültigkeitsende der ausgerollten Definition,SG5,,,,,,,Muss [29]Soll [36] ∧[37],
64,Gültigkeitsende der ausgerollten Definition,SG5,DTM,,,,,,Muss [29]Soll [36] ∧[37],"[29] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 303 vorhanden  
[36] Wenn in SG8 SEQ+Z43 DTM+Z33 (Zählzeitänderungszeitpu nkt) im DE2379 der Code 401 vorhanden"
65,Gültigkeitsende der ausgerollten Definition,SG5,DTM,2005,,Z35,,Gültigkeitsende,X,
66,Gültigkeitsende der ausgerollten Definition,SG5,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931] ∧[947] [30],"[30] Der Wert von CCYY in diesem DE muss genau um eins höher sein, als der Wert CCYY des SG5 DTM+Z34 (Gültigkeitsbeginn) DE2380  
[931] Format: ZZZ = +00  
[947] Format: MMDDHHMM = 12312300"
67,Gültigkeitsende der ausgerollten Definition,SG5,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
68,Versionsangabe,SG5,,,,,,,,
69,Versionsangabe,SG5,,,,,,,Muss,
70,Versionsangabe,SG5,DTM,,,,,,Muss,
71,Versionsangabe,SG5,DTM,2005,,293,,Fertigstellungsdatum/-zeit,X,
72,Versionsangabe,SG5,DTM,2380,,,,Datum oder Uhrzeit oder,X [931],[931] Format: ZZZ = +00
73,Versionsangabe,SG5,DTM,2379,,304,,CCYYMMDDHHMMSSZZZ,X,
74,Prüfidentifikator,SG6,,,,,,,Muss,
75,Prüfidentifikator,SG6,,,,,,,Muss,
76,Prüfidentifikator,SG6,RFF,,,,,,Muss,
77,Prüfidentifikator,SG6,RFF,1153,,Z13,,Prüfidentifikator,X,
78,Prüfidentifikator,SG6,RFF,1154,,25005,,AusgerollteZählzeitdefinition,X,
79,Prüfidentifikator,SG6,RFF,1154,,25008,,AusgerollteSchaltzeitdefinition,,
80,Prüfidentifikator,SG6,RFF,1154,,25009,,AusgerollteLeistungskurvendefinition,,
81,Referenz auf Reklamation,SG6,,,,,,,Soll [26],
82,Referenz auf Reklamation,SG6,,,,,,,Soll [26],[26] sofern per ORDERS reklamiert
83,Referenz auf Reklamation,SG6,RFF,,,,,,Muss,
84,Referenz auf Reklamation,SG6,RFF,1153,,AGI,,Beantragungsnummer,X,
85,Referenz auf Reklamation,SG6,RFF,1154,,,,"Referenz, Identifikation",X [504],[504] Hinweis: Wert aus BGM+Z55 DE1004 der ORDERS mit der die Reklamation einer Definition erfolgt ist
86,Zählzeitdefinition,SG8,,,,,,,Muss [510]∧ [511] ∧([512] ⊻[513]),
