Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404,Änderung,changed_entries,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Qualifier_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410,Unnamed: 0_FV2410
Nachrichten-Kopfsegment,,UNH,,,,,,Muss,,0,,,Nachrichten-Kopfsegment,,UNH,,,,,,Muss,,0
Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,,1,,,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,,1
Nachrichten-Kopfsegment,,UNH,0065,,REMADV,,Zahlungsavis,X,,2,,,Nachrichten-Kopfsegment,,UNH,0065,,REMADV,,Zahlungsavis,X,,2
Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,,3,,,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,,3
Nachrichten-Kopfsegment,,UNH,0054,,05A,,Ausgabe 2005 - A,X,,4,,,Nachrichten-Kopfsegment,,UNH,0054,,05A,,Ausgabe 2005 - A,X,,4
Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,,5,,,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,,5
Nachrichten-Kopfsegment,,UNH,0057,,2.9c,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,6,,,Nachrichten-Kopfsegment,,UNH,0057,,2.9c,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,6
Beginn der Nachricht,,BGM,,,,,,Muss,,7,,,Beginn der Nachricht,,BGM,,,,,,Muss,,7
Beginn der Nachricht,,BGM,1001,,239,,Abgelehnte Forderung (Nicht-Zahlungsavis),X,,8,,,Beginn der Nachricht,,BGM,1001,,239,,Abgelehnte Forderung (Nicht-Zahlungsavis),X,,8
Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,,9,,,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,,9
Dokumentendatum,,DTM,,,,,,Muss,,10,,,Dokumentendatum,,DTM,,,,,,Muss,,10
Dokumentendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,11,,,Dokumentendatum,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,11
Dokumentendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,12,,,Dokumentendatum,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,12
Dokumentendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,13,,,Dokumentendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,13
Prüfidentifikator,,RFF,,,,,,Muss,,14,,,Prüfidentifikator,,RFF,,,,,,Muss,,14
Prüfidentifikator,,RFF,1153,,Z13,,Prüfidentifikator,X,,15,,,Prüfidentifikator,,RFF,1153,,Z13,,Prüfidentifikator,X,,15
Prüfidentifikator,,RFF,1154,,33003,,Abweisung Kopf und Summe,X,,16,,,Prüfidentifikator,,RFF,1154,,33003,,Abweisung Kopf und Summe,X,,16
MP-ID Absender,SG1,,,,,,,Muss,,17,,,MP-ID Absender,SG1,,,,,,,Muss,,17
MP-ID Absender,SG1,NAD,,,,,,Muss,,18,,,MP-ID Absender,SG1,NAD,,,,,,Muss,,18
MP-ID Absender,SG1,NAD,3035,,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,19,,,MP-ID Absender,SG1,NAD,3035,,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,19
MP-ID Absender,SG1,NAD,3039,,,,MP-ID,X [45],[45] Nur MP-ID aus Sparte Strom,20,,,MP-ID Absender,SG1,NAD,3039,,,,MP-ID,X [45],[45] Nur MP-ID aus Sparte Strom,20
MP-ID Absender,SG1,NAD,3055,,9,,GS1,X,,21,,,MP-ID Absender,SG1,NAD,3055,,9,,GS1,X,,21
MP-ID Absender,SG1,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,22,,,MP-ID Absender,SG1,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,22
Ansprechpartner,SG3,,,,,,,Kann [503],"[503] Hinweis: Empfohlen, um bei Abweisung Ansprechpartner für Rückfragen zu erreichen.",23,,,Ansprechpartner,SG3,,,,,,,Kann [503],"[503] Hinweis: Empfohlen, um bei Abweisung Ansprechpartner für Rückfragen zu erreichen.",23
Ansprechpartner,SG3,CTA,,,,,,Muss,,24,,,Ansprechpartner,SG3,CTA,,,,,,Muss,,24
Ansprechpartner,SG3,CTA,3139,,IC,,Informationsstelle,X,,25,,,Ansprechpartner,SG3,CTA,3139,,IC,,Informationsstelle,X,,25
Ansprechpartner,SG3,CTA,3412,,,,Abteilung oder Bearbeiter,X,,26,,,Ansprechpartner,SG3,CTA,3412,,,,Abteilung oder Bearbeiter,X,,26
Kommunikationsverbindung,SG3,COM,,,,,,Muss,,27,,,Kommunikationsverbindung,SG3,COM,,,,,,Muss,,27
Kommunikationsverbindung,SG3,COM,3148,,,,"Kommunikationsadresse, Identifikation",X (([939][89]) ∨ ([940][90])) ∧ [549],"[89] wenn im DE3155 in demselben COM der Code EM vorhanden ist
[90] wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[549] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen",28,,,Kommunikationsverbindung,SG3,COM,3148,,,,"Kommunikationsadresse, Identifikation",X (([939][89]) ∨ ([940][90])) ∧ [549],"[89] wenn im DE3155 in demselben COM der Code EM vorhanden ist
[90] wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[549] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen",28
Kommunikationsverbindung,SG3,COM,3155,,EM,,E-Mail,X [1P0..1],,29,,,Kommunikationsverbindung,SG3,COM,3155,,EM,,E-Mail,X [1P0..1],,29
Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],,30,,,Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],,30
