,Segmentname,Segmentgruppe,Segment,Datenelement,Segment ID,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
0,Nachrichten-Kopfsegment,,UNH,,,,,,Muss,
1,Nachrichten-Kopfsegment,,UNH,0062,,,,Nachrichten-Referenznummer,X,
2,Nachrichten-Kopfsegment,,UNH,0065,,PARTIN,,Partnerstammdaten,X,
3,Nachrichten-Kopfsegment,,UNH,0052,,D,,Entwurfs-Version,X,
4,Nachrichten-Kopfsegment,,UNH,0054,,20B,,Ausgabe 2020 - B,X,
5,Nachrichten-Kopfsegment,,UNH,0051,,UN,,UN/CEFACT,X,
6,Nachrichten-Kopfsegment,,UNH,0057,,1.0a,,Versionsnummer derzugrundeliegendenBDEW-Nachrichtenbeschreibung,X,
7,Beginn der Nachricht,,BGM,,,,,,Muss,
8,Beginn der Nachricht,,BGM,1001,,10,,Partnerstammdaten,X,
9,Beginn der Nachricht,,BGM,1004,,,,Dokumentennummer,X,
10,Beginn der Nachricht,,BGM,1373,,11,,Dokument nichtverfügbar,S [9],[9] Wenn die Kommunikationsdaten vom Absender nicht mehr aktiv sind.
11,Nachrichtendatum,,DTM,,,,,,Muss,
12,Nachrichtendatum,,DTM,2005,,137,,Dokumenten-/Nachrichtendatum/-zeit,X,
13,Nachrichtendatum,,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [931][494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.  
[931] Format: ZZZ = +00"
14,Nachrichtendatum,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
15,Prüfidentifikator,SG1,,,,,,,Muss,
16,Prüfidentifikator,SG1,RFF,,,,,,Muss,
17,Prüfidentifikator,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,
18,Prüfidentifikator,SG1,RFF,1154,,37000,,ÜbermittlungKommunikationsdatendes LF,X,
19,Prüfidentifikator,SG1,RFF,1154,,37001,,ÜbermittlungKommunikationsdatendes NB,,
20,Prüfidentifikator,SG1,RFF,1154,,37002,,ÜbermittlungKommunikationsdatendes MSB,,
21,Versionsnummer,SG1,RFF,,,,,,Muss,
22,Versionsnummer,SG1,RFF,1153,,AGK,,Anwendungsreferenznummer,X,
23,Versionsnummer,SG1,RFF,1056,,,,Versionsnummer,X [908],[908] Format: Mögliche Werte: 1 bis n
24,Gültig Ab,SG1,DTM,,,,,,Soll [4],[4] Wenn Vorgängerversion vorhanden
25,Gültig Ab,SG1,DTM,2005,,157,,"Gültigkeit, Beginndatum",X,
26,Gültig Ab,SG1,DTM,2380,,,,"Datum oder Uhrzeit oderZeitspanne, Wert",X [UB1],
27,Gültig Ab,SG1,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
28,Vorgängerversion,SG1,RFF,,,,,,Soll [4],[4] Wenn Vorgängerversion vorhanden
29,Vorgängerversion,SG1,RFF,1153,,ACW,,Referenznummer einervorangegangenenNachricht,X,
30,Vorgängerversion,SG1,RFF,1056,,,,Versionsnummer,X [908],[908] Format: Mögliche Werte: 1 bis n
31,MP-ID Absender,SG2,,,,,,,Muss,
32,MP-ID Absender,SG2,NAD,,,,,,Muss,
33,MP-ID Absender,SG2,NAD,3035,,MS,,Dokumenten-/Nachrichtenausstellerbzw. -absender,X,
34,MP-ID Absender,SG2,NAD,3039,,,,MP-ID,X [1],[1] Nur MP-ID aus Sparte Strom
35,MP-ID Absender,SG2,NAD,3055,,9,,GS1,X,
36,MP-ID Absender,SG2,NAD,3055,,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
37,Ansprechpartner,SG3,,,,,,,Kann,
38,Ansprechpartner,SG3,CTA,,,,,,Muss,
39,Ansprechpartner,SG3,CTA,3139,,IC,,Informationskontakt,X,
40,Ansprechpartner,SG3,CTA,3412,,,,Name vom Ansprechpartner,X,
41,Kommunikationsverbindung,SG3,COM,,,,,,Muss,
42,Kommunikationsverbindung,SG3,COM,3148,,,,Nummer / Adresse,X (([939][6]),[6] wenn im DE3155 im
43,Kommunikationsverbindung,SG3,COM,3155,,EM,,Elektronische Post,X [1P0..1],
44,Kommunikationsverbindung,SG3,COM,3155,,FX,,Telefax,X [1P0..1],
45,Kommunikationsverbindung,SG3,COM,3155,,TE,,Telefon,X [1P0..1],
46,Kommunikationsverbindung,SG3,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
47,Kommunikationsverbindung,SG3,COM,3155,,AL,,Handy,X [1P0..1],
48,MP-ID Empfänger,SG2,,,,,,,Muss,
49,MP-ID Empfänger,SG2,NAD,,,,,,Muss,
50,MP-ID Empfänger,SG2,NAD,3035,,MR,,Nachrichtenempfänger,X,
51,MP-ID Empfänger,SG2,NAD,3039,,,,MP-ID,X [1],[1] Nur MP-ID aus Sparte Strom
52,MP-ID Empfänger,SG2,NAD,3055,,9,,GS1,X,
53,MP-ID Empfänger,SG2,NAD,3055,,293,,"DE, BDEW(Bundesverband derEnergie- undWasserwirtschaft e.V.)",X,
54,Abschnitts-Kontrollsegment,,UNS,,,,,,Muss,
55,Abschnitts-Kontrollsegment,,UNS,0081,,D,,Trennung von Kopf- undPositionsteil,X,
56,Name und Adresse des Unternehmens,SG4,,,,,,,Muss [10],[10] Wenn BGM DE1373 = 11 (Dokument nicht verfügbar) nicht vorhanden
57,Name und Adresse des Unternehmens,SG4,NAD,,,,,,Muss,
58,Name und Adresse des Unternehmens,SG4,NAD,3035,,SU,,Lieferant,X,
59,Name und Adresse des Unternehmens,SG4,NAD,3035,,DDM,,Netzbetreiber,,
60,Name und Adresse des Unternehmens,SG4,NAD,3035,,DEB,,Messstellenbetreiber,,
61,Name und Adresse des Unternehmens,SG4,NAD,3036,,,,Name,X,
62,Name und Adresse des Unternehmens,SG4,NAD,3045,,Z02,,Struktur derFirmenbezeichnung,X,
63,Name und Adresse des Unternehmens,SG4,NAD,3042,,,,Straße und Hausnummer oderPostfach,X,
64,Name und Adresse des Unternehmens,SG4,NAD,3164,,,,Ort,X,
